geo_id,year,enrollment_total,enrollment_male,enrollment_female,teachers_total,teachers_male,teachers_female,teachers_qualified,pupil_teacher_ratio,classrooms_total
BGD_000001,2016,150,,,,,,,,
BGD_000002,2016,123,,,,,,,,
BGD_000003,2016,80,,,,,,,,
BGD_000004,2016,153,,,,,,,,
BGD_000005,2016,95,,,,,,,,
BGD_000006,2016,166,,,,,,,,
BGD_000007,2016,158,,,,,,,,
BGD_000008,2016,150,,,,,,,,
BGD_000009,2016,157,,,,,,,,
BGD_000010,2016,162,,,,,,,,
BGD_000057,2016,60,,,,,,,,
BGD_000058,2016,150,,,,,,,,
BGD_000059,2016,104,,,,,,,,
BGD_000060,2016,109,,,,,,,,
BGD_000092,2016,132,,,,,,,,
BGD_000109,2016,185,,,,,,,,
BGD_000127,2016,152,,,,,,,,
BGD_000133,2016,112,,,,,,,,
BGD_000148,2016,134,,,,,,,,
BGD_000149,2016,66,,,,,,,,
BGD_000150,2016,90,,,,,,,,
BGD_000151,2016,85,,,,,,,,
BGD_000152,2016,120,,,,,,,,
BGD_000153,2016,92,,,,,,,,
BGD_000154,2016,180,,,,,,,,
BGD_006805,2016,121,,,,,,,,
BGD_000224,2016,165,,,,,,,,
BGD_000265,2016,78,,,,,,,,
BGD_000283,2016,124,,,,,,,,
BGD_000284,2016,108,,,,,,,,
BGD_000285,2016,234,,,,,,,,
BGD_000286,2016,208,,,,,,,,
BGD_000316,2016,95,,,,,,,,
BGD_000317,2016,266,,,,,,,,
BGD_000318,2016,121,,,,,,,,
BGD_000319,2016,277,,,,,,,,
BGD_000320,2016,428,,,,,,,,
BGD_000350,2016,232,,,,,,,,
BGD_000351,2016,165,,,,,,,,
BGD_000352,2016,135,,,,,,,,
BGD_006810,2016,174,,,,,,,,
BGD_000385,2016,344,,,,,,,,
BGD_000435,2016,136,,,,,,,,
BGD_000436,2016,396,,,,,,,,
BGD_000437,2016,178,,,,,,,,
BGD_000451,2016,185,,,,,,,,
BGD_000452,2016,120,,,,,,,,
BGD_000454,2016,203,,,,,,,,
BGD_000455,2016,175,,,,,,,,
BGD_000456,2016,120,,,,,,,,
BGD_000502,2016,107,,,,,,,,
BGD_000503,2016,96,,,,,,,,
BGD_000520,2016,77,,,,,,,,
BGD_000521,2016,140,,,,,,,,
BGD_000522,2016,74,,,,,,,,
BGD_000523,2016,185,,,,,,,,
BGD_000547,2016,156,,,,,,,,
BGD_000548,2016,164,,,,,,,,
BGD_000549,2016,96,,,,,,,,
BGD_000550,2016,97,,,,,,,,
BGD_000575,2016,125,,,,,,,,
BGD_000576,2016,127,,,,,,,,
BGD_000577,2016,103,,,,,,,,
BGD_000578,2016,66,,,,,,,,
BGD_000579,2016,62,,,,,,,,
BGD_000580,2016,78,,,,,,,,
BGD_000581,2016,151,,,,,,,,
BGD_000582,2016,202,,,,,,,,
BGD_000583,2016,85,,,,,,,,
BGD_000584,2016,128,,,,,,,,
BGD_000585,2016,150,,,,,,,,
BGD_000586,2016,99,,,,,,,,
BGD_000587,2016,60,,,,,,,,
BGD_000624,2016,150,,,,,,,,
BGD_000625,2016,125,,,,,,,,
BGD_000626,2016,53,,,,,,,,
BGD_000627,2016,172,,,,,,,,
BGD_000628,2016,160,,,,,,,,
BGD_000687,2016,151,,,,,,,,
BGD_000688,2016,129,,,,,,,,
BGD_000689,2016,102,,,,,,,,
BGD_000690,2016,159,,,,,,,,
BGD_000691,2016,130,,,,,,,,
BGD_000708,2016,101,,,,,,,,
BGD_000709,2016,129,,,,,,,,
BGD_000710,2016,66,,,,,,,,
BGD_000728,2016,162,,,,,,,,
BGD_000729,2016,121,,,,,,,,
BGD_000730,2016,115,,,,,,,,
BGD_000731,2016,65,,,,,,,,
BGD_000768,2016,161,,,,,,,,
BGD_006815,2016,136,,,,,,,,
BGD_000790,2016,111,,,,,,,,
BGD_000791,2016,121,,,,,,,,
BGD_000792,2016,100,,,,,,,,
BGD_000818,2016,161,,,,,,,,
BGD_000819,2016,75,,,,,,,,
BGD_000820,2016,103,,,,,,,,
BGD_000821,2016,68,,,,,,,,
BGD_000822,2016,146,,,,,,,,
BGD_000823,2016,126,,,,,,,,
BGD_000824,2016,192,,,,,,,,
BGD_000825,2016,113,,,,,,,,
BGD_000872,2016,91,,,,,,,,
BGD_000873,2016,77,,,,,,,,
BGD_000906,2016,123,,,,,,,,
BGD_000907,2016,142,,,,,,,,
BGD_000908,2016,90,,,,,,,,
BGD_000918,2016,75,,,,,,,,
BGD_000919,2016,311,,,,,,,,
BGD_000920,2016,155,,,,,,,,
BGD_000921,2016,77,,,,,,,,
BGD_000962,2016,101,,,,,,,,
BGD_000963,2016,125,,,,,,,,
BGD_000964,2016,97,,,,,,,,
BGD_000965,2016,121,,,,,,,,
BGD_000966,2016,123,,,,,,,,
BGD_000974,2016,42,,,,,,,,
BGD_000975,2016,156,,,,,,,,
BGD_000976,2016,135,,,,,,,,
BGD_000977,2016,135,,,,,,,,
BGD_001008,2016,72,,,,,,,,
BGD_001009,2016,67,,,,,,,,
BGD_001010,2016,137,,,,,,,,
BGD_001011,2016,77,,,,,,,,
BGD_001012,2016,62,,,,,,,,
BGD_001013,2016,66,,,,,,,,
BGD_001014,2016,52,,,,,,,,
BGD_001032,2016,15,,,,,,,,
BGD_001034,2016,257,,,,,,,,
BGD_001051,2016,8,,,,,,,,
BGD_001118,2016,120,,,,,,,,
BGD_001119,2016,130,,,,,,,,
BGD_001303,2016,256,,,,,,,,
BGD_001378,2016,360,,,,,,,,
BGD_001427,2016,297,,,,,,,,
BGD_001445,2016,196,,,,,,,,
BGD_001540,2016,138,,,,,,,,
BGD_001562,2016,325,,,,,,,,
BGD_001651,2016,256,,,,,,,,
BGD_006812,2016,99,,,,,,,,
BGD_006813,2016,55,,,,,,,,
BGD_001684,2016,366,,,,,,,,
BGD_006889,2016,112,,,,,,,,
BGD_006808,2016,62,,,,,,,,
BGD_001805,2016,214,,,,,,,,
BGD_001806,2016,214,,,,,,,,
BGD_001807,2016,161,,,,,,,,
BGD_001808,2016,120,,,,,,,,
BGD_002002,2016,85,,,,,,,,
BGD_002003,2016,170,,,,,,,,
BGD_002004,2016,152,,,,,,,,
BGD_002006,2016,189,,,,,,,,
BGD_002008,2016,67,,,,,,,,
BGD_002011,2016,321,,,,,,,,
BGD_002012,2016,78,,,,,,,,
BGD_002013,2016,137,,,,,,,,
BGD_002014,2016,48,,,,,,,,
BGD_002038,2016,191,,,,,,,,
BGD_002092,2016,242,,,,,,,,
BGD_002093,2016,227,,,,,,,,
BGD_002142,2016,227,,,,,,,,
BGD_006807,2016,201,,,,,,,,
BGD_002197,2016,69,,,,,,,,
BGD_002198,2016,118,,,,,,,,
BGD_006893,2016,132,,,,,,,,
BGD_002283,2016,118,,,,,,,,
BGD_002284,2016,123,,,,,,,,
BGD_002285,2016,103,,,,,,,,
BGD_006816,2016,413,,,,,,,,
BGD_002289,2016,106,,,,,,,,
BGD_002290,2016,260,,,,,,,,
BGD_002291,2016,116,,,,,,,,
BGD_002298,2016,204,,,,,,,,
BGD_002301,2016,360,,,,,,,,
BGD_002302,2016,217,,,,,,,,
BGD_002341,2016,194,,,,,,,,
BGD_006884,2016,247,,,,,,,,
BGD_002398,2016,154,,,,,,,,
BGD_002399,2016,129,,,,,,,,
BGD_002419,2016,155,,,,,,,,
BGD_002451,2016,342,,,,,,,,
BGD_002461,2016,148,,,,,,,,
BGD_002491,2016,267,,,,,,,,
BGD_006885,2016,992,,,,,,,,
BGD_002536,2016,80,,,,,,,,
BGD_002537,2016,115,,,,,,,,
BGD_002538,2016,154,,,,,,,,
BGD_002572,2016,28,,,,,,,,
BGD_002573,2016,111,,,,,,,,
BGD_002574,2016,44,,,,,,,,
BGD_002575,2016,294,,,,,,,,
BGD_002576,2016,201,,,,,,,,
BGD_002594,2016,98,,,,,,,,
BGD_002616,2016,354,,,,,,,,
BGD_002682,2016,32,,,,,,,,
BGD_002683,2016,97,,,,,,,,
BGD_002719,2016,309,,,,,,,,
BGD_002725,2016,68,,,,,,,,
BGD_002726,2016,110,,,,,,,,
BGD_002727,2016,88,,,,,,,,
BGD_002773,2016,80,,,,,,,,
BGD_002774,2016,161,,,,,,,,
BGD_002775,2016,110,,,,,,,,
BGD_002776,2016,103,,,,,,,,
BGD_002777,2016,84,,,,,,,,
BGD_002778,2016,95,,,,,,,,
BGD_002779,2016,100,,,,,,,,
BGD_006891,2016,160,,,,,,,,
BGD_002853,2016,145,,,,,,,,
BGD_002872,2016,302,,,,,,,,
BGD_002904,2016,315,,,,,,,,
BGD_002905,2016,226,,,,,,,,
BGD_002906,2016,228,,,,,,,,
BGD_002930,2016,150,,,,,,,,
BGD_002929,2016,70,,,,,,,,
BGD_002960,2016,145,,,,,,,,
BGD_002961,2016,84,,,,,,,,
BGD_002962,2016,114,,,,,,,,
BGD_002963,2016,267,,,,,,,,
BGD_003051,2016,198,,,,,,,,
BGD_003052,2016,91,,,,,,,,
BGD_003085,2016,54,,,,,,,,
BGD_003093,2016,344,,,,,,,,
BGD_003122,2016,73,,,,,,,,
BGD_003123,2016,125,,,,,,,,
BGD_003124,2016,110,,,,,,,,
BGD_003128,2016,126,,,,,,,,
BGD_003131,2016,172,,,,,,,,
BGD_003160,2016,147,,,,,,,,
BGD_003176,2016,135,,,,,,,,
BGD_003203,2016,173,,,,,,,,
BGD_003237,2016,197,,,,,,,,
BGD_003267,2016,337,,,,,,,,
BGD_003275,2016,229,,,,,,,,
BGD_003302,2016,157,,,,,,,,
BGD_003303,2016,341,,,,,,,,
BGD_003304,2016,160,,,,,,,,
BGD_003411,2016,93,,,,,,,,
BGD_003428,2016,203,,,,,,,,
BGD_003479,2016,166,,,,,,,,
BGD_003527,2016,75,,,,,,,,
BGD_003528,2016,47,,,,,,,,
BGD_003547,2016,138,,,,,,,,
BGD_003548,2016,146,,,,,,,,
BGD_003553,2016,68,,,,,,,,
BGD_003554,2016,86,,,,,,,,
BGD_003555,2016,60,,,,,,,,
BGD_003564,2016,203,,,,,,,,
BGD_003572,2016,100,,,,,,,,
BGD_003573,2016,76,,,,,,,,
BGD_003579,2016,158,,,,,,,,
BGD_003589,2016,61,,,,,,,,
BGD_003590,2016,63,,,,,,,,
BGD_003591,2016,163,,,,,,,,
BGD_003647,2016,73,,,,,,,,
BGD_003648,2016,123,,,,,,,,
BGD_003649,2016,93,,,,,,,,
BGD_003650,2016,122,,,,,,,,
BGD_003651,2016,105,,,,,,,,
BGD_003653,2016,123,,,,,,,,
BGD_003654,2016,127,,,,,,,,
BGD_003655,2016,60,,,,,,,,
BGD_003656,2016,144,,,,,,,,
BGD_003671,2016,124,,,,,,,,
BGD_003672,2016,120,,,,,,,,
BGD_003673,2016,161,,,,,,,,
BGD_003674,2016,102,,,,,,,,
BGD_003709,2016,86,,,,,,,,
BGD_003710,2016,121,,,,,,,,
BGD_003711,2016,39,,,,,,,,
BGD_003712,2016,47,,,,,,,,
BGD_006811,2016,167,,,,,,,,
BGD_003729,2016,49,,,,,,,,
BGD_003730,2016,54,,,,,,,,
BGD_003792,2016,172,,,,,,,,
BGD_003793,2016,105,,,,,,,,
BGD_003794,2016,84,,,,,,,,
BGD_003867,2016,154,,,,,,,,
BGD_003868,2016,65,,,,,,,,
BGD_003869,2016,33,,,,,,,,
BGD_003870,2016,83,,,,,,,,
BGD_003871,2016,161,,,,,,,,
BGD_003872,2016,189,,,,,,,,
BGD_006814,2016,62,,,,,,,,
BGD_004053,2016,123,,,,,,,,
BGD_004054,2016,75,,,,,,,,
BGD_004055,2016,218,,,,,,,,
BGD_004056,2016,63,,,,,,,,
BGD_004077,2016,123,,,,,,,,
BGD_004151,2016,75,,,,,,,,
BGD_004128,2016,237,,,,,,,,
BGD_004129,2016,147,,,,,,,,
BGD_004141,2016,382,,,,,,,,
BGD_004158,2016,265,,,,,,,,
BGD_004176,2016,94,,,,,,,,
BGD_004212,2016,120,,,,,,,,
BGD_004213,2016,224,,,,,,,,
BGD_004235,2016,117,,,,,,,,
BGD_004246,2016,101,,,,,,,,
BGD_004247,2016,88,,,,,,,,
BGD_004259,2016,114,,,,,,,,
BGD_004354,2016,140,,,,,,,,
BGD_004410,2016,99,,,,,,,,
BGD_004449,2016,160,,,,,,,,
BGD_004509,2016,105,,,,,,,,
BGD_004529,2016,42,,,,,,,,
BGD_004530,2016,142,,,,,,,,
BGD_004556,2016,131,,,,,,,,
BGD_004590,2016,190,,,,,,,,
BGD_004624,2016,150,,,,,,,,
BGD_004625,2016,157,,,,,,,,
BGD_005028,2016,222,,,,,,,,
BGD_005029,2016,194,,,,,,,,
BGD_005352,2016,123,,,,,,,,
BGD_005353,2016,238,,,,,,,,
BGD_005361,2016,157,,,,,,,,
BGD_005374,2016,83,,,,,,,,
BGD_005375,2016,140,,,,,,,,
BGD_005394,2016,59,,,,,,,,
BGD_005395,2016,76,,,,,,,,
BGD_005396,2016,136,,,,,,,,
BGD_005420,2016,80,,,,,,,,
BGD_005439,2016,88,,,,,,,,
BGD_005440,2016,145,,,,,,,,
BGD_005491,2016,186,,,,,,,,
BGD_005506,2016,153,,,,,,,,
BGD_005512,2016,155,,,,,,,,
BGD_005513,2016,135,,,,,,,,
BGD_005514,2016,123,,,,,,,,
BGD_006806,2016,127,,,,,,,,
BGD_005556,2016,185,,,,,,,,
BGD_005632,2016,103,,,,,,,,
BGD_005643,2016,130,,,,,,,,
BGD_005666,2016,133,,,,,,,,
BGD_005667,2016,152,,,,,,,,
BGD_005668,2016,167,,,,,,,,
BGD_005836,2016,226,,,,,,,,
BGD_005883,2016,97,,,,,,,,
BGD_005891,2016,151,,,,,,,,
BGD_005914,2016,135,,,,,,,,
BGD_005995,2016,146,,,,,,,,
BGD_005996,2016,280,,,,,,,,
BGD_006001,2016,125,,,,,,,,
BGD_006002,2016,101,,,,,,,,
BGD_006003,2016,145,,,,,,,,
BGD_006004,2016,141,,,,,,,,
BGD_006005,2016,112,,,,,,,,
BGD_006006,2016,122,,,,,,,,
BGD_006007,2016,195,,,,,,,,
BGD_006038,2016,121,,,,,,,,
BGD_006039,2016,58,,,,,,,,
BGD_006040,2016,53,,,,,,,,
BGD_006041,2016,65,,,,,,,,
BGD_006060,2016,124,,,,,,,,
BGD_006090,2016,118,,,,,,,,
BGD_006116,2016,52,,,,,,,,
BGD_006118,2016,77,,,,,,,,
BGD_006119,2016,148,,,,,,,,
BGD_006339,2016,460,,,,,,,,
BGD_006340,2016,125,,,,,,,,
BGD_006341,2016,188,,,,,,,,
BGD_006342,2016,166,,,,,,,,
BGD_006363,2016,82,,,,,,,,
BGD_006364,2016,133,,,,,,,,
BGD_006392,2016,195,,,,,,,,
BGD_006425,2016,151,,,,,,,,
BGD_006442,2016,50,,,,,,,,
BGD_006443,2016,134,,,,,,,,
BGD_004633,2016,57,,,,,,,,
BGD_004651,2016,122,,,,,,,,
BGD_004666,2016,47,,,,,,,,
BGD_004681,2016,81,,,,,,,,
BGD_004682,2016,80,,,,,,,,
BGD_004691,2016,78,,,,,,,,
BGD_004692,2016,61,,,,,,,,
BGD_004709,2016,151,,,,,,,,
BGD_004710,2016,180,,,,,,,,
BGD_004711,2016,159,,,,,,,,
BGD_004712,2016,89,,,,,,,,
BGD_004722,2016,196,,,,,,,,
BGD_004747,2016,70,,,,,,,,
BGD_004748,2016,100,,,,,,,,
BGD_004749,2016,111,,,,,,,,
BGD_004765,2016,89,,,,,,,,
BGD_004766,2016,76,,,,,,,,
BGD_006894,2016,23,,,,,,,,
BGD_004790,2016,104,,,,,,,,
BGD_004791,2016,81,,,,,,,,
BGD_004792,2016,180,,,,,,,,
BGD_004847,2016,241,,,,,,,,
BGD_004871,2016,158,,,,,,,,
BGD_004872,2016,155,,,,,,,,
BGD_004918,2016,85,,,,,,,,
BGD_004919,2016,122,,,,,,,,
BGD_004920,2016,85,,,,,,,,
BGD_004921,2016,121,,,,,,,,
BGD_004933,2016,102,,,,,,,,
BGD_004934,2016,110,,,,,,,,
BGD_004935,2016,139,,,,,,,,
BGD_004981,2016,125,,,,,,,,
BGD_004982,2016,72,,,,,,,,
BGD_005130,2016,148,,,,,,,,
BGD_005144,2016,159,,,,,,,,
BGD_005145,2016,334,,,,,,,,
BGD_005146,2016,172,,,,,,,,
BGD_005147,2016,104,,,,,,,,
BGD_005170,2016,190,,,,,,,,
BGD_005171,2016,162,,,,,,,,
BGD_005206,2016,80,,,,,,,,
BGD_005207,2016,106,,,,,,,,
BGD_005239,2016,122,,,,,,,,
BGD_005286,2016,177,,,,,,,,
BGD_005287,2016,148,,,,,,,,
BGD_005288,2016,117,,,,,,,,
BGD_005289,2016,105,,,,,,,,
BGD_005290,2016,191,,,,,,,,
BGD_005299,2016,173,,,,,,,,
BGD_005300,2016,91,,,,,,,,
BGD_005324,2016,185,,,,,,,,
BGD_005325,2016,206,,,,,,,,
BGD_005326,2016,112,,,,,,,,
BGD_005327,2016,151,,,,,,,,
BGD_005328,2016,125,,,,,,,,
BGD_005329,2016,110,,,,,,,,
BGD_005703,2016,139,,,,,,,,
BGD_005704,2016,144,,,,,,,,
BGD_005705,2016,202,,,,,,,,
BGD_005723,2016,170,,,,,,,,
BGD_005724,2016,123,,,,,,,,
BGD_005725,2016,145,,,,,,,,
BGD_005727,2016,138,,,,,,,,
BGD_005736,2016,177,,,,,,,,
BGD_005755,2016,136,,,,,,,,
BGD_005775,2016,154,,,,,,,,
BGD_005776,2016,126,,,,,,,,
BGD_005777,2016,166,,,,,,,,
