geo_id,source_id,country,school_name,school_name_romanized,isced_level,school_type,sector,adm0,adm1,adm2,adm3,urban_rural,ghsl_smod_code,ghsl_urban_rural,latitude,longitude,coordinate_source,coordinate_precision,status
BGD_000001,100009,BGD,LOCHA JUUNIOR HIGH SCHOOL,,2,School,public,Bangladesh,Barisal,Barguna,Amtali,rural,21,peri_urban,24.59206121874243,91.55129236656154,admin_centroid,approximate,open
BGD_000002,100029,BGD,KALIBARI JR GIRLS HIGH SCHOOL,,2,School,public,Bangladesh,Barisal,Barguna,Amtali,rural,23,urban,25.137154762131505,91.9910163698405,admin_centroid,approximate,open
BGD_000003,100030,BGD,HALDIA GRUDAL BANGO BANDU HIGH SCHOOL,,2,School,public,Bangladesh,Barisal,Barguna,Amtali,rural,21,peri_urban,22.1650212,90.2512777,address_geocoded,approximate,open
BGD_000004,100038,BGD,KALAGACHIA YUNUS A K JUNIOR HIGH SCHOOL,,2,School,public,Bangladesh,Barisal,Barguna,Amtali,rural,21,peri_urban,23.31157608069266,89.55231173554553,admin_centroid,approximate,open
BGD_000005,100039,BGD,HALIMA KHATUN G R GIRLS HIGH SCHOOL,,2,School,public,Bangladesh,Barisal,Barguna,Amtali,urban,12,rural,22.217326318578927,90.2368025079558,admin_centroid,approximate,open
BGD_000006,100041,BGD,PATAKTA NURUL HAQUE JUNIOR HIGH SCHOOL,,2,School,public,Bangladesh,Barisal,Barguna,Amtali,rural,30,urban,23.15010731634917,91.31175580438152,admin_centroid,approximate,open
BGD_000007,100042,BGD,K H AKOTA JUNIOR HIGH SCHOOL,,2,School,public,Bangladesh,Barisal,Barguna,Amtali,rural,23,urban,22.1419105,90.2326106,address_geocoded,approximate,open
BGD_000008,100046,BGD,KHAGDON JUNIOR HIGH SCHOOL,,2,School,public,Bangladesh,Barisal,Barguna,Amtali,rural,21,peri_urban,22.214581019934393,90.3236185479056,admin_centroid,approximate,open
BGD_000009,100048,BGD,MODDHO CHANDRA JUNIOR HIGH SCHOOL,,2,School,public,Bangladesh,Barisal,Barguna,Amtali,rural,30,urban,23.15010731634917,91.31175580438152,admin_centroid,approximate,open
BGD_000010,100051,BGD,UTTAR TIAKHALI JUNIOR GIRLS HIGH SCHOOL,,2,School,public,Bangladesh,Barisal,Barguna,Amtali,rural,21,peri_urban,22.079517756421417,90.24936753323465,admin_centroid,approximate,open
BGD_000011,100066,BGD,HARIN KHOLA C.N.A DAKHIL MADRASAH,,2,Madrasha,public,Bangladesh,Barisal,Barguna,Amtali,rural,21,peri_urban,22.0960757,90.1588965,address_geocoded,approximate,open
BGD_000012,100067,BGD,MOHAMMADPUR MAHMUDIA DAKHIL MADRASAH,,2,Madrasha,public,Bangladesh,Barisal,Barguna,Amtali,rural,21,peri_urban,24.59206121874243,91.55129236656154,admin_centroid,approximate,open
BGD_000013,100068,BGD,TALTALI CHOTOVIZORA SHALEHIA ALIM MADRASAH,,3,Madrasha,public,Bangladesh,Barisal,Barguna,Amtali,rural,12,rural,21.954280906379857,90.11121733263668,admin_centroid,approximate,open
BGD_000014,100072,BGD,UTTAR KALAMPUR HATEMMIA DAKHIL MADRASA,,2,Madrasha,public,Bangladesh,Barisal,Barguna,Amtali,rural,21,peri_urban,22.2526998,90.281074,address_geocoded,approximate,open
BGD_000015,100073,BGD,ISLAMPUR  HASHANIA  DAKHIL  MADRASHA,,2,Madrasha,public,Bangladesh,Barisal,Barguna,Amtali,rural,12,rural,22.036733803369454,90.26473459411471,admin_centroid,approximate,open
BGD_000016,100074,BGD,MOHISHKATA NESARIA DAKHIL MADRASA,,2,Madrasha,public,Bangladesh,Barisal,Barguna,Amtali,rural,21,peri_urban,22.215427718242115,90.31264362017002,admin_centroid,approximate,open
BGD_000017,100075,BGD,MADHYA TARIKATA DAKHIL MADRASA,,2,Madrasha,public,Bangladesh,Barisal,Barguna,Amtali,rural,21,peri_urban,22.08318407051841,90.21146943315614,admin_centroid,approximate,open
BGD_000018,100076,BGD,DAKKHIN  TAKTA BUNIA RAHMIA DAKHIL MADRASA,,2,Madrasha,public,Bangladesh,Barisal,Barguna,Amtali,rural,21,peri_urban,22.10894201438167,90.2988151883216,admin_centroid,approximate,open
BGD_000019,100077,BGD,GULISHAKHALI DAKHIL MDRASHA,,2,Madrasha,public,Bangladesh,Barisal,Barguna,Amtali,rural,21,peri_urban,22.0931903,90.1743865,address_geocoded,approximate,open
BGD_000020,100078,BGD,BALIATALI CHARAKGACHHIA DAKHIL MADRASHA,,2,Madrasha,public,Bangladesh,Barisal,Barguna,Amtali,rural,21,peri_urban,22.0960757,90.1588965,address_geocoded,approximate,open
BGD_000021,100079,BGD,ZAKIR TABAK SALEHIA DAKHIL MADRASHA,,2,Madrasha,public,Bangladesh,Barisal,Barguna,Amtali,rural,12,rural,22.00235399907965,90.1099561927072,admin_centroid,approximate,open
BGD_000022,100080,BGD,UTTAR KATHALIA DAKHIL MADRASAH,,2,Madrasha,public,Bangladesh,Barisal,Barguna,Amtali,rural,12,rural,22.1179029,90.3285129,address_geocoded,approximate,open
BGD_000023,100081,BGD,SOBHANPARA DAKHIL MADRASAH,,2,Madrasha,public,Bangladesh,Barisal,Barguna,Amtali,rural,21,peri_urban,22.0931903,90.1743865,address_geocoded,approximate,open
BGD_000024,100082,BGD,PURBA KEWABUNIA AKBARIA DAKHIL MADRASAH,,2,Madrasha,public,Bangladesh,Barisal,Barguna,Amtali,rural,12,rural,22.230973045673338,90.3045352140298,admin_centroid,approximate,open
BGD_000025,100083,BGD,PURBA KCHU PATRA SALEHA DAKHIL MADRASA,,2,Madrasha,public,Bangladesh,Barisal,Barguna,Amtali,rural,21,peri_urban,22.042940926218275,90.18862775847325,admin_centroid,approximate,open
BGD_000026,100084,BGD,TEPURA AHMADIA DAKHIL MADRASA,,2,Madrasha,public,Bangladesh,Barisal,Barguna,Amtali,rural,21,peri_urban,22.0885752,90.3129909,address_geocoded,approximate,open
BGD_000027,100085,BGD,AMRAGACHIA SHALEHIA DAKHIL AMDRASAH,,2,Madrasha,public,Bangladesh,Barisal,Barguna,Amtali,rural,21,peri_urban,22.19198107215094,90.2806520447831,admin_centroid,approximate,open
BGD_000028,100086,BGD,RAHMATPUR DAKHIL MADRASAH,,2,Madrasha,public,Bangladesh,Barisal,Barguna,Amtali,rural,12,rural,22.170930858897115,90.26961953891222,admin_centroid,approximate,open
BGD_000029,100087,BGD,PANCHAKORALIA BAZAR BABU ALI DAKHIL MADRASHA,,2,Madrasha,public,Bangladesh,Barisal,Barguna,Amtali,rural,21,peri_urban,22.080834,90.1551658,address_geocoded,approximate,open
BGD_000030,100088,BGD,PURBA PATAKATA MEHER ALI SENIOR MADRASHA,,2,Madrasha,public,Bangladesh,Barisal,Barguna,Amtali,rural,21,peri_urban,22.0931903,90.1743865,address_geocoded,approximate,open
BGD_000031,100090,BGD,GHOP KHALI AL-AMIN DAKHIL MADRASAH,,2,Madrasha,public,Bangladesh,Barisal,Barguna,Amtali,rural,21,peri_urban,22.0931903,90.1743865,address_geocoded,approximate,open
BGD_000032,100091,BGD,UTTAR TEPURA ALAHAI DAKHIL MADRASA,,2,Madrasha,public,Bangladesh,Barisal,Barguna,Amtali,rural,12,rural,22.1179029,90.3285129,address_geocoded,approximate,open
BGD_000033,100092,BGD,KARAIBARIA DARUSSUNAT DAKHIL MADRASA,,2,Madrasha,public,Bangladesh,Barisal,Barguna,Amtali,rural,12,rural,23.48147717329559,89.76520090196045,admin_centroid,approximate,open
BGD_000034,100094,BGD,GHATKHALI AMINUDDIN GIRLS ALIM MADRASHA,,3,Madrasha,public,Bangladesh,Barisal,Barguna,Amtali,rural,21,peri_urban,22.365039338577457,90.01609162752732,admin_centroid,approximate,open
BGD_000035,100095,BGD,HARIDRABARIA D.S. DAKHIL MADRASHA,,2,Madrasha,public,Bangladesh,Barisal,Barguna,Amtali,rural,12,rural,22.217326318578927,90.2368025079558,admin_centroid,approximate,open
BGD_000036,100096,BGD,KALAGACHIA ABDUL GANI DAKHIL MADRASHA,,2,Madrasha,public,Bangladesh,Barisal,Barguna,Amtali,rural,21,peri_urban,23.31157608069266,89.55231173554553,admin_centroid,approximate,open
BGD_000037,100097,BGD,TALTALI SALEHIA ISLAMIA ALIM MADRASHA,,3,Madrasha,public,Bangladesh,Barisal,Barguna,Amtali,peri_urban,12,rural,21.954280906379857,90.11121733263668,admin_centroid,approximate,open
BGD_000038,100100,BGD,UTTAR KALAMPUR NURANI BALIKA DAKHIL MADRASHA,,2,Madrasha,public,Bangladesh,Barisal,Barguna,Amtali,rural,21,peri_urban,22.2526998,90.281074,address_geocoded,approximate,open
