geo_id,source_id,country,school_name,school_name_romanized,isced_level,school_type,sector,adm0,adm1,adm2,adm3,urban_rural,ghsl_smod_code,ghsl_urban_rural,latitude,longitude,coordinate_source,coordinate_precision,status
BHR_000001,337,BHR,مدرسة آمنة بنت وهب الابتدائية للبنات,A'AMENA BINT WAHAB PRIMARY GIRLS SCHOOL,1,PUBLIC SCHOOLS - GIRLS,public,Bahrain,Muharraq Governorate,,207,,,,26.25546968,50.6054328399999,official_emis,exact,open
BHR_000002,231,BHR,مدرسة عبدالرحمن الناصر الابتدائية الاعدادية للبنين,ABDULRAHMAN AL NASSER PRIMARY & INTERMEDIATE BOYS SCHOOL,1|2,PUBLIC SCHOOLS - BOYS,public,Bahrain,Muharraq Governorate,,210,,,,26.2491381699999,50.6170687999999,official_emis,exact,open
BHR_000003,232,BHR,مدرسة عبدالرحمن الداخل الاعدادية للبنين,ABDULRAHMAN ALDAKHIL INTERMEDIATE BOYS SCHOOL,2,PUBLIC SCHOOLS - BOYS,public,Bahrain,Capital Governorate,,321,,,,26.22751937,50.59345795,official_emis,exact,open
BHR_000004,233,BHR,مدرسة أبو العلاء المعري الابتدائية للبنين,ABU AL AALA AL MAARI PRIMARY BOYS SCHOOL,1,PUBLIC SCHOOLS - BOYS,public,Bahrain,Muharraq Governorate,,210,,,,26.2543758899999,50.61845069,official_emis,exact,open
BHR_000005,234,BHR,مدرسة أبو عبيدة بن الجراح الابتدائية للبنين,ABU AUBAYDAH AL JARRAH PRIMARY BOYS SCHOOL,1,PUBLIC SCHOOLS - BOYS,public,Bahrain,Muharraq Governorate,,213,,,,26.25102864,50.6142023199999,official_emis,exact,open
BHR_000006,235,BHR,مدرسة أبو بكر الصديق الابتدائية للبنين,ABU BAKER AL SIDDIQ PRIMARY BOYS SCHOOL,1,PUBLIC SCHOOLS - BOYS,public,Bahrain,Capital Governorate,,301,,,,26.2259342599999,50.57852037,official_emis,exact,open
BHR_000007,236,BHR,مدرسة أبو فراس الحمداني الابتدائية للبنين,ABU FERAS ALHAMADANY PRIMARY BOYS SCHOOL,1,PUBLIC SCHOOLS - BOYS,public,Bahrain,Muharraq Governorate,,208,,,,26.2522910799999,50.61558379,official_emis,exact,open
BHR_000008,237,BHR,مدرسة أبو صيبع الابتدائية للبنين,ABU SAIBEA PRIMARY BOYS SCHOOL,1,PUBLIC SCHOOLS - BOYS,public,Bahrain,Northern Governorate,,473,,,,26.2167315099999,50.50312144,official_emis,exact,open
BHR_000009,238,BHR,مدرسة أحمد الفاتح الابتدائية الاعدادية للبنين,AHMED AL FATEH PRIMARY & INTERMEDIATE BOYS SCHOOL,1|2,PUBLIC SCHOOLS - BOYS,public,Bahrain,Southern Governorate,,907,,,,26.1196046899999,50.5752443599999,official_emis,exact,open
BHR_000010,239,BHR,مدرسة أحمد العمران الثانوية للبنين,AHMED AL OMRAN SECONDARY BOYS SCHOOL,3,PUBLIC SCHOOLS - BOYS,public,Bahrain,Capital Governorate,,318,,,,26.23344664,50.5907709199999,official_emis,exact,open
BHR_000011,338,BHR,مدرسة عين جالوت الابتدائية للبنات,AIN JALOOT PRIMARY GIRLS SCHOOL,1,PUBLIC SCHOOLS - GIRLS,public,Bahrain,Southern Governorate,,813,,,,26.1657057299999,50.5608611899999,official_emis,exact,open
BHR_000012,240,BHR,مدرسة العلاء الحضرمي الابتدائية للبنين,AL ALAA AL HADHRAMI PRIMARY BOYS SCHOOL,1,PUBLIC SCHOOLS - BOYS,public,Bahrain,Capital Governorate,,328,,,,26.2153987,50.57564472,official_emis,exact,open
BHR_000013,341,BHR,مدرسة الاندلس الابتدائية للبنات,AL ANDALUS PRIMARY GIRLS SCHOOL,1,PUBLIC SCHOOLS - GIRLS,public,Bahrain,Southern Governorate,,937,,,,26.13947955,50.57194582,official_emis,exact,open
BHR_000014,342,BHR,مدرسة البديع الابتدائية الاعدادية للبنات,AL BUDAIYA PRIMARY & INTERMEDIATE GIRLS SCHOOL,1|2,PUBLIC SCHOOLS - GIRLS,public,Bahrain,Northern Governorate,,555,,,,26.2090469599999,50.44886331,official_emis,exact,open
BHR_000015,241,BHR,مدرسة البديع الابتدائية للبنين,AL BUDAIYA PRIMARY BOYS SCHOOL,1,PUBLIC SCHOOLS - BOYS,public,Bahrain,Northern Governorate,,541,,,,26.2130107499999,50.45747713,official_emis,exact,open
BHR_000016,344,BHR,مدرسة البسيتين الإعدادية للبنات,AL BUSAITEEN INTERMEDIATE GIRLS SCHOOL,2,PUBLIC SCHOOLS - GIRLS,public,Bahrain,Muharraq Governorate,,228,,,,26.2778056599999,50.6006840299999,official_emis,exact,open
BHR_000017,343,BHR,مدرسة البسيتين الاعدادية للبنات,AL BUSAITEEN INTERMEDIATE GIRLS SCHOOL,2,PUBLIC SCHOOLS - GIRLS,public,Bahrain,Muharraq Governorate,,224,,,,26.26919257,50.61561796,official_emis,exact,open
BHR_000018,242,BHR,مدرسة البسيتين الابتدائية للبنين,AL BUSAITEEN PRIMARY BOYS SCHOOL,1,PUBLIC SCHOOLS - BOYS,public,Bahrain,Muharraq Governorate,,221,,,,26.2617498199999,50.60598727,official_emis,exact,open
