geo_id,source_id,country,school_name,school_name_romanized,isced_level,school_type,sector,adm0,adm1,adm2,adm3,urban_rural,ghsl_smod_code,ghsl_urban_rural,latitude,longitude,coordinate_source,coordinate_precision,status
BLZ_000001,S50102,BLZ,Agriculture and Natural Resource Institute - ANRI,,2|3,Secondary,public,Belize,Stann Creek,Stann Creek West,,rural,11,rural,16.977876,-88.353042,official_emis,exact,unknown
BLZ_000002,P61101,BLZ,Aguacate RC Primary,,1,Primary,public,Belize,Toledo,Toledo West,,rural,12,rural,16.161555,-89.091994,official_emis,exact,unknown
BLZ_000003,P12001,BLZ,All Saints Anglican Primary School,,1,Primary,public,Belize,Belize,Freetown,,urban,30,urban,17.50660556,-88.19344599,official_emis,exact,unknown
BLZ_000004,S29101,BLZ,Alvin L. Young Nazarene High,,2|3,Secondary,public,Belize,Cayo,Cayo West,,rural,12,rural,17.077725,-89.1235953,official_emis,exact,unknown
BLZ_000005,S12001,BLZ,Anglican Cathedral College,,2|3,Secondary,public,Belize,Belize,Albert,,urban,30,urban,17.4891354,-88.1877227,official_emis,exact,unknown
BLZ_000006,P20401,BLZ,Armenia Government Primary School,,1,Primary,public,Belize,Cayo,Cayo South,,rural,12,rural,17.15552726,-88.74495422,official_emis,exact,unknown
BLZ_000007,P29002,BLZ,Arms of Love Primary,,1,Primary,public,Belize,Cayo,Cayo North,,urban,21,peri_urban,17.14421006,-89.07819206,official_emis,exact,unknown
BLZ_000008,P41401,BLZ,August Pine Ridge RC Primary,,1,Primary,public,Belize,Orange Walk,Orange Walk South,,rural,13,rural,17.9731652,-88.7267839,official_emis,exact,unknown
BLZ_000009,S34101,BLZ,Belize Adventist College,,2|3,Secondary,public,Belize,Corozal,Corozal North,,rural,13,rural,18.36517,-88.43607,official_emis,exact,unknown
BLZ_000010,S40101,BLZ,Belize High School of Agriculture,,2|3,Secondary,public,Belize,Orange Walk,Orange Walk South,,rural,12,rural,18.0305483,-88.6730195,official_emis,exact,unknown
BLZ_000011,S10101,BLZ,Belize Rural High School,,2|3,Secondary,public,Belize,Belize,Belize Rural North,,rural,12,rural,17.5517134,-88.5557391,official_emis,exact,unknown
BLZ_000012,P10302,BLZ,Belize Rural Primary School,,1,Primary,public,Belize,Belize,Belize Rural North,,rural,12,rural,17.5531873,-88.5554351,official_emis,exact,unknown
BLZ_000013,S60103,BLZ,Bella Vista Government Secondary School,,2|3,Secondary,public,Belize,Toledo,Toledo East,,rural,11,rural,16.50363212,-88.51737314,official_emis,exact,unknown
BLZ_000014,S28001,BLZ,Belmopan Baptist High School,,2|3,Secondary,public,Belize,Cayo,Cayo South,,rural,12,rural,17.2700661,-88.78877827,official_emis,exact,unknown
BLZ_000015,S20001,BLZ,Belmopan Comprehensive School,,2|3,Secondary,public,Belize,Cayo,Belmopan,,urban,23,urban,17.245532,-88.7689387,official_emis,exact,unknown
BLZ_000016,S23001,BLZ,Belmopan Methodist High School,,2|3,Secondary,public,Belize,Cayo,Belmopan,,urban,23,urban,17.2473976,-88.7624841,official_emis,exact,unknown
BLZ_000017,P64001,BLZ,Bethel SDA Primary,,1,Primary,public,Belize,Toledo,Toledo East,,urban,12,rural,16.10509,-88.820455,official_emis,exact,unknown
BLZ_000018,P61401,BLZ,Big Falls RC Primary,,1,Primary,public,Belize,Toledo,Toledo West,,rural,12,rural,16.25809102,-88.8835809,official_emis,exact,unknown
BLZ_000019,P24450,BLZ,Billy White SDA Primary,,1,Primary,public,Belize,Cayo,Cayo North East,,rural,12,rural,17.21390186,-89.04963713,official_emis,exact,unknown
BLZ_000020,P10401,BLZ,Biscayne Government Primary,,1,Primary,public,Belize,Belize,Belize Rural North,,rural,12,rural,17.7133172,-88.4524974,official_emis,exact,unknown
BLZ_000021,S41002,BLZ,Bishop Martin High School,,2|3,Secondary,public,Belize,Orange Walk,Orange Walk North,,urban,21,peri_urban,18.0980072,-88.5739059,official_emis,exact,unknown
BLZ_000022,P21009,BLZ,Bishop O.P. Martin RC Primary,,1,Primary,public,Belize,Cayo,Cayo North East,,rural,23,urban,17.1592719,-89.0835264,official_emis,exact,unknown
BLZ_000023,P61201,BLZ,Blue Creek RC Primary,,1,Primary,public,Belize,Toledo,Toledo West,,rural,12,rural,16.19895121,-89.04589857,official_emis,exact,unknown
BLZ_000024,P20201,BLZ,Buena Vista Government Primary,,1,Primary,public,Belize,Cayo,Cayo Central,,rural,12,rural,17.2500862,-88.9424006,official_emis,exact,unknown
