geo_id,source_id,country,school_name,school_name_romanized,isced_level,school_type,sector,adm0,adm1,adm2,adm3,urban_rural,ghsl_smod_code,ghsl_urban_rural,latitude,longitude,coordinate_source,coordinate_precision,status
BRA_000001,11000023,BRA,EEEE ABNAEL MACHADO DE LIMA - CENE,,1,A escola não está em área de localização diferenciada,public,Brazil,Rondonia,Porto Velho,,urban,30,urban,-8.758459,-63.8540109,official_emis,approximate,open
BRA_000002,11000201,BRA,EMEF PROF HERBERT DE ALENCAR,,1,A escola não está em área de localização diferenciada,public,Brazil,Rondonia,Porto Velho,,urban,30,urban,-8.764006266,-63.8782668,official_emis,approximate,open
BRA_000003,11000260,BRA,COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM I,,1|3,A escola não está em área de localização diferenciada,public,Brazil,Rondonia,Porto Velho,,urban,30,urban,-8.7382676,-63.8790881,official_emis,approximate,open
BRA_000004,11000317,BRA,EEEFM DR JOSE OTINO DE FREITAS,,1|3,A escola não está em área de localização diferenciada,public,Brazil,Rondonia,Porto Velho,,urban,30,urban,-8.7421523,-63.8753613,official_emis,approximate,open
BRA_000005,11000368,BRA,EMEIEF 13 DE MAIO,,1,A escola não está em área de localização diferenciada,public,Brazil,Rondonia,Porto Velho,,rural,22,urban,-9.777907091,-66.35614607,official_emis,approximate,open
BRA_000006,11000376,BRA,EEEF 21 DE ABRIL,,1,A escola não está em área de localização diferenciada,public,Brazil,Rondonia,Porto Velho,,urban,30,urban,-8.7505586,-63.8908812,official_emis,approximate,open
BRA_000007,11000384,BRA,EEEFM 4 DE JANEIRO,,3,A escola não está em área de localização diferenciada,public,Brazil,Rondonia,Porto Velho,,urban,30,urban,-8.7414285,-63.8643211,official_emis,approximate,open
BRA_000008,11000457,BRA,EEEFM PROFESSORA ANTONIA VIEIRA FROTA,,1|3,A escola não está em área de localização diferenciada,public,Brazil,Rondonia,Porto Velho,,urban,13,rural,-9.65721718,-65.74720348,official_emis,approximate,open
BRA_000009,11000465,BRA,EMEIEF ANTONIO AUGUSTO VASCONCELOS,,1,Área de assentamento,public,Brazil,Rondonia,Porto Velho,,rural,11,rural,-8.87186849,-64.05470945,official_emis,approximate,open
BRA_000010,11000473,BRA,EMEF ANTONIO FERREIRA DA SILVA,,1,A escola não está em área de localização diferenciada,public,Brazil,Rondonia,Porto Velho,,urban,30,urban,-8.757077,-63.890191,official_emis,approximate,open
BRA_000011,11000554,BRA,EEEFM BANDEIRANTES,,1|3,A escola não está em área de localização diferenciada,public,Brazil,Rondonia,Porto Velho,,urban,13,rural,-9.7592463,-66.617363,official_emis,approximate,open
BRA_000012,11000589,BRA,EMEIF SENADOR DARCY RIBEIR0,,1,Área de assentamento,public,Brazil,Rondonia,Alvorada D'Oeste,,rural,12,rural,-11.2231633,-62.5241278,official_emis,approximate,open
BRA_000013,11000597,BRA,EEEFM BELA VISTA,,1|3,A escola não está em área de localização diferenciada,public,Brazil,Rondonia,Porto Velho,,urban,30,urban,-8.798406,-63.8923997,official_emis,approximate,open
BRA_000014,11000651,BRA,EMEF BOM JESUS,,1,A escola não está em área de localização diferenciada,public,Brazil,Rondonia,Porto Velho,,urban,30,urban,-8.76598847,-63.8755085,official_emis,approximate,open
BRA_000015,11000660,BRA,EMEIEF BOM PRINCIPIO,,1,A escola não está em área de localização diferenciada,public,Brazil,Rondonia,Porto Velho,,urban,30,urban,-8.762186455,-63.83722787,official_emis,approximate,open
