geo_id,source_id,country,school_name,school_name_romanized,isced_level,school_type,sector,adm0,adm1,adm2,adm3,urban_rural,ghsl_smod_code,ghsl_urban_rural,latitude,longitude,coordinate_source,coordinate_precision,status
CRI_000001,306,CRI,EL CARMEN,,1,,public,Costa Rica,Provincia San José,Escazu,San Antonio,urban,30,urban,9.8967534,-84.14121184,official_emis,exact,unknown
CRI_000002,307,CRI,DAVID MARIN HIDALGO,,1,,public,Costa Rica,Provincia San José,Escazu,San Antonio,urban,30,urban,9.90327017,-84.15965354,official_emis,exact,unknown
CRI_000003,308,CRI,BELLO HORIZONTE,,1,,public,Costa Rica,Provincia San José,Escazu,,urban,30,urban,9.91935087,-84.13000764,official_emis,exact,unknown
CRI_000004,309,CRI,BETANIA,,1,,public,Costa Rica,Provincia San José,Montes de Oca,,urban,30,urban,9.93971231,-84.0535617,official_emis,exact,unknown
CRI_000005,310,CRI,BRASIL DE SANTA ANA,,1,,public,Costa Rica,Provincia San José,Santa Ana,Brasil,urban,30,urban,9.93543488,-84.22480796,official_emis,exact,unknown
CRI_000006,311,CRI,CARMEN LYRA,,1,,public,Costa Rica,Provincia San José,Alajuelita,Concepción,urban,30,urban,9.89313568,-84.08764071,official_emis,exact,unknown
CRI_000007,312,CRI,SAN RAFAEL,,1,,public,Costa Rica,Provincia San José,Tibas,Cinco Esquinas,urban,30,urban,9.94677813,-84.08737603,official_emis,exact,unknown
CRI_000008,313,CRI,PATIO DE AGUA,,1,,public,Costa Rica,Provincia San José,Vazquez de Coronado,San Rafael,urban,12,rural,9.97489483,-83.96508638,official_emis,exact,unknown
CRI_000009,314,CRI,MONTERREY VARGAS ARAYA,,1,,public,Costa Rica,Provincia San José,Montes de Oca,San Pedro,urban,30,urban,9.93773354,-84.03428572,official_emis,exact,unknown
CRI_000010,315,CRI,BUENAVENTURA CORRALES,,1,,public,Costa Rica,Provincia San José,San Jose,Carmen,urban,30,urban,9.93611332,-84.07431514,official_emis,exact,unknown
CRI_000011,318,CRI,LA PEREGRINA,,1,,public,Costa Rica,Provincia San José,San Jose,Uruca,urban,30,urban,9.95606208,-84.10081941,official_emis,exact,unknown
CRI_000012,319,CRI,JESUS JIMENEZ ZAMORA,,1,,public,Costa Rica,Provincia San José,Tibas,San Juan,urban,30,urban,9.96619241,-84.08230782,official_emis,exact,unknown
