geo_id,source_id,country,school_name,school_name_romanized,isced_level,school_type,sector,adm0,adm1,adm2,adm3,urban_rural,ghsl_smod_code,ghsl_urban_rural,latitude,longitude,coordinate_source,coordinate_precision,status
GTM_000001,00-01-0058-43,GTM,ESCUELA DE NIÑOS NO.3 CAYETANO FRANCOS Y MONROY,,1,Primaria,public,Guatemala,Guatemala,Guatemala,,urban,,,14.632609,-90.509168,official_emis,exact,open
GTM_000002,00-01-0059-43,GTM,EOUV NO.27 REPUBLICA DE BRASIL,,1,Primaria,public,Guatemala,Guatemala,Guatemala,,urban,,,14.62509,-90.518617,official_emis,exact,open
GTM_000003,00-01-0063-43,GTM,EOUV NO.2 REPUBLICA DE COSTA RICA,,1,Primaria,public,Guatemala,Guatemala,Guatemala,,urban,,,14.633219,-90.505,official_emis,exact,open
GTM_000004,00-01-0064-43,GTM,EOUV NO.9 LUCAS TOMAS COJULUN,,1,Primaria,public,Guatemala,Guatemala,Guatemala,,urban,,,14.643236,-90.505925,official_emis,exact,open
GTM_000005,00-01-0065-43,GTM,ESCUELA OFICIAL NO. 35 JOSE CECILIO DEL VALLE,,1,Primaria,public,Guatemala,Guatemala,Guatemala,,urban,,,14.632609,-90.509168,official_emis,exact,open
GTM_000006,00-01-0066-43,GTM,ESCUELA OFICIAL PARA NIÑAS NO .45 RAFAEL AYAU,,1,Primaria,public,Guatemala,Guatemala,Guatemala,,urban,,,14.643894,-90.50351,official_emis,exact,open
GTM_000007,00-01-0067-43,GTM,EOUN NO.5 MIGUEL GARCIA GRANADOS,,1,Primaria,public,Guatemala,Guatemala,Guatemala,,urban,,,14.643236,-90.505925,official_emis,exact,open
GTM_000008,00-01-0070-43,GTM,ESCUELA DE NIÑAS NO. 10 MANUEL CABRAL,,1,Primaria,public,Guatemala,Guatemala,Guatemala,,urban,,,14.633863,-90.506875,official_emis,exact,open
GTM_000009,00-01-0071-43,GTM,EOUN NO.67 APLICACION DE BELEN,,1,Primaria,public,Guatemala,Guatemala,Guatemala,,urban,,,14.635548,-90.509341,official_emis,exact,open
GTM_000010,00-01-0072-43,GTM,EOUN NO.3 DOLORES BEDOYA DE MOLINA,,1,Primaria,public,Guatemala,Guatemala,Guatemala,,urban,,,14.634862,-90.513089,official_emis,exact,open
GTM_000011,00-01-0074-43,GTM,EOUM NO.82 DR. CARLOS MONZON MALICE,,1,Primaria,public,Guatemala,Guatemala,Guatemala,,urban,,,14.640414,-90.521575,official_emis,exact,open
GTM_000012,00-01-0075-43,GTM,EOUM NO.72 GUATEMALTECOS SOMOS,,1,Primaria,public,Guatemala,Guatemala,Guatemala,,urban,,,14.62509,-90.518617,official_emis,exact,open
GTM_000013,00-01-0078-43,GTM,EOUM NO.136 MERCADO SUR NO.2,,1,Primaria,public,Guatemala,Guatemala,Guatemala,,urban,,,14.63035,-90.515883,official_emis,exact,open
