geo_id,source_id,country,school_name,school_name_romanized,isced_level,school_type,sector,adm0,adm1,adm2,adm3,urban_rural,ghsl_smod_code,ghsl_urban_rural,latitude,longitude,coordinate_source,coordinate_precision,status
LBY_000001,BI-053,LBY,10 MARS,10 مارس,3,Secondary (Economic Sciences),public,Libya,Benghazi,,,,,,32.11437,20.12995,official_emis,exact,open
LBY_000002,DA-046,LBY,10MARAS,10 مارس,1,Primary,public,Libya,Al Qubbah,,,,,,32.71917,22.67044,official_emis,exact,open
LBY_000003,MU-254,LBY,11 ALSAYEF,11 الصيف,1|2,Primary|Preparatory,public,Libya,Al Marqab,,,,,,32.34523,14.39737,official_emis,exact,closed_temporary
LBY_000004,TR-018,LBY,11HJUIN SCHOOL,11 يونيو,3,Secondary (Medical Sciences)|Secondary (Engineering Sciences)|Secondary (Economic Sciences),public,Libya,Tajura' wa an Nawahi al Arba,,,,,,32.86599,13.14285,official_emis,exact,open
LBY_000005,BI-158,LBY,12 RABEA AL AWAL,12 ربيع الأول,1,Primary,public,Libya,Benghazi,,,,,,32.102404,20.123486,official_emis,exact,open
LBY_000006,KU-169,LBY,15 APRIL,15 ابريل,1|2,Primary|Preparatory,public,Libya,An Nuqat al Khams,,,,,,32.78028,12.10989,official_emis,exact,closed_temporary
LBY_000007,TR-549,LBY,17 APREL,17 ابريل,3,Secondary (Medical Sciences)|Secondary (Engineering Sciences),public,Libya,Tajura' wa an Nawahi al Arba,,,,,,32.88811,13.3498,official_emis,exact,open
LBY_000008,MU-040,LBY,17 FEBRAER,17 فبراير,2,Preparatory,public,Libya,Misratah,,,,,,32.38222,15.06232,official_emis,exact,open
LBY_000009,KU-190,LBY,17 FEBRAER,17 فبراير,1,Primary,public,Libya,An Nuqat al Khams,,,,,,32.85052,12.05592,official_emis,exact,closed_temporary
LBY_000010,WM-250,LBY,17 FEBRAER,17 فبراير,1,Primary,public,Libya,Mizdah,,,,,,32.0466,12.57413,official_emis,exact,open
LBY_000011,MI-539,LBY,17 FEBRAIER,17 فبراير,3,Secondary (Medical Sciences),public,Libya,Al Marqab,,,,,,32.58658,14.36181,official_emis,exact,open
LBY_000012,WM-167,LBY,17 FEBRAIER,فبراير 17,1|2,Primary|Preparatory,public,Libya,Az Zawiyah,,,,,,32.27214,12.76638,official_emis,exact,open
LBY_000013,WM-380,LBY,17 FEBRAYER,17 فبراير,3,Secondary (Engineering Sciences)|Secondary (Economic Sciences),public,Libya,Mizdah,,,,,,31.99283,12.3435,official_emis,exact,open
LBY_000014,KU-261,LBY,17 FEBRAYER,فبراير17,3,Secondary (Engineering Sciences),public,Libya,An Nuqat al Khams,,,,,,32.75857,12.37697,official_emis,exact,closed_temporary
LBY_000015,MO-056,LBY,17 FEBRAYER,17فبراير,2,Preparatory,public,Libya,Murzuq,,,,,,26.10102,14.84212,official_emis,exact,open
LBY_000016,NA-029,LBY,17 FEBRAYER TAKWET,فبراير تكويت17,2,Preparatory,public,Libya,Ghadamis,,,,,,31.96261,11.02477,official_emis,exact,open
LBY_000017,MI-224,LBY,17 FEBRUARY,17 فبراير,1|2,Primary|Preparatory,public,Libya,Al Marqab,,,,,,32.45764,14.55748,official_emis,exact,open
LBY_000018,ZA-036,LBY,17 FEBRUARY,17 فبراير,1|2,Primary|Preparatory,public,Libya,Az Zawiyah,,,,,,32.75945,12.72549,official_emis,exact,open
LBY_000019,JU-001,LBY,17 FERRAYER,17 فبراير,1,Primary,public,Libya,Al Jufrah,,,,,,29.12518,15.9825,official_emis,exact,open
LBY_000020,WM-054,LBY,17 FERRAYER,17 فبراير,1|2,Primary|Preparatory,public,Libya,Mizdah,,,,,,32.21772,13.04168,official_emis,exact,open
LBY_000021,NA-027,LBY,17 FERRAYER,17 فبراير,1|2,Primary|Preparatory,public,Libya,Ghadamis,,,,,,31.89319,10.96455,official_emis,exact,open
LBY_000022,NA-030,LBY,17 FERRAYER AWLAD MAHMOD,17 فبراير اولاد محمود,2,Preparatory,public,Libya,Ghadamis,,,,,,31.81845,11.05067,official_emis,exact,open
LBY_000023,NA-032,LBY,17 FIBRAYER(ALMJABRA),17 فبراير ( المجابرة),1,Primary,public,Libya,Ghadamis,,,,,,31.86963,11.1723,official_emis,exact,open
LBY_000024,TU-002,LBY,17 MEN FABRIER,17 من فبراير,3,Secondary (Medical Sciences)|Secondary (Engineering Sciences)|Secondary (Economic Sciences),public,Libya,Al Butnan,,,,,,32.0174,23.98824,official_emis,exact,open
LBY_000025,BI-078,LBY,17FABREAR,الكفاح,1|2,Primary|Preparatory,public,Libya,Benghazi,,,,,,32.274587,20.219255,official_emis,exact,open
LBY_000026,AJ-050,LBY,17FABREAR,17 فبراير,3,Secondary (Medical Sciences),public,Libya,Ajdabiya,,,,,,30.76008,20.21873,official_emis,exact,closed_temporary
LBY_000027,BI-077,LBY,17FABREAR,17 فبراير,2,Preparatory,public,Libya,Benghazi,,,,,,32.25271,20.2009,official_emis,exact,open
LBY_000028,SA-051,LBY,17FEBRAYER,17 فبراير,3,Secondary (Engineering Sciences),public,Libya,Sabha,,,,,,27.04421,14.42243,official_emis,exact,open
LBY_000029,JA-333,LBY,17FEBRAYER,فبراير17,1|2,Primary|Preparatory,public,Libya,Al Marqab,,,,,,32.48458,14.59509,official_emis,exact,closed_temporary
LBY_000030,DA-134,LBY,17FEBRAYER,17فبراير,1,Primary,public,Libya,Al Qubbah,,,,,,32.75545,22.24763,official_emis,exact,open
LBY_000031,TR-459,LBY,19 AGOSTAS,19 اغسطس,2,Preparatory,public,Libya,Tajura' wa an Nawahi al Arba,,,,,,32.85593,13.2699,official_emis,exact,open
LBY_000032,TR-392,LBY,2 MARES,2 مارس,3,Secondary (Economic Sciences),public,Libya,Tajura' wa an Nawahi al Arba,,,,,,32.87085,13.19157,official_emis,exact,closed_temporary
LBY_000033,KO-046,LBY,2 MARS,2 مارس,1,Primary,public,Libya,Al Kufrah,,,,,,24.17287,23.29325,official_emis,exact,open
LBY_000034,KO-016,LBY,2 MARS,2 مارس,2,Preparatory,public,Libya,Al Kufrah,,,,,,24.17287,23.29325,official_emis,exact,open
LBY_000035,MU-312,LBY,2 MARS,2 مارس,3,Secondary (Economic Sciences),public,Libya,Misratah,,,,,,31.759111,13.996266,official_emis,exact,closed_temporary
LBY_000036,MI-153,LBY,20 RAMADAN,العشرين من رمضان,1|2,Primary|Preparatory,public,Libya,Al Marqab,,,,,,32.62029,13.92426,official_emis,exact,open
LBY_000037,WM-011,LBY,22 FEBRUARY,22 فبراير,1|2,Primary|Preparatory,public,Libya,Mizdah,,,,,,32.14812,12.99523,official_emis,exact,open
LBY_000038,WM-059,LBY,23 AKTOBER,23 اكتوبر,1|2,Primary|Preparatory,public,Libya,Mizdah,,,,,,32.20223,13.03761,official_emis,exact,open
LBY_000039,SA-087,LBY,23 EKTOBIR,23 أكثوبر,1,Primary,public,Libya,Sabha,,,,,,27.05363,14.43112,official_emis,exact,open
LBY_000040,MU-386,LBY,23 NASER,23 ناصر,1|2,Primary|Preparatory,public,Libya,Al Marqab,,,,,,32.47892,14.56088,official_emis,exact,open
LBY_000041,KU-170,LBY,23 YOLIO,23 يوليو,1|2,Primary|Preparatory,public,Libya,An Nuqat al Khams,,,,,,32.834,12.03613,official_emis,exact,closed_temporary
LBY_000042,MI-023,LBY,23 YOLYO,23 يوليو,1|2,Primary|Preparatory,public,Libya,Al Marqab,,,,,,32.26731,13.59753,official_emis,exact,open
LBY_000043,TR-138,LBY,23 YOLYO,23 يوليو,1,Primary,public,Libya,Tajura' wa an Nawahi al Arba,,,,,,32.88411,13.18473,official_emis,exact,open
