geo_id,source_id,lby_reliable
LBY_000001,BI-053,Reliable
LBY_000002,DA-046,Reliable
LBY_000003,MU-254,Reliable
LBY_000004,TR-018,Reliable
LBY_000005,BI-158,Reliable
LBY_000006,KU-169,Reliable
LBY_000007,TR-549,Reliable
LBY_000008,MU-040,Reliable
LBY_000009,KU-190,Reliable
LBY_000010,WM-250,Reliable
LBY_000011,MI-539,Reliable
LBY_000012,WM-167,Reliable
LBY_000013,WM-380,Reliable
LBY_000014,KU-261,Reliable
LBY_000015,MO-056,Reliable
LBY_000016,NA-029,Reliable
LBY_000017,MI-224,Reliable
LBY_000018,ZA-036,Reliable
LBY_000019,JU-001,Reliable
LBY_000020,WM-054,Reliable
LBY_000021,NA-027,Reliable
LBY_000022,NA-030,Reliable
LBY_000023,NA-032,Reliable
LBY_000024,TU-002,Reliable
LBY_000025,BI-078,Reliable
LBY_000026,AJ-050,Reliable
LBY_000027,BI-077,Reliable
LBY_000028,SA-051,Reliable
LBY_000029,JA-333,Reliable
LBY_000030,DA-134,Reliable
LBY_000031,TR-459,Reliable
LBY_000032,TR-392,Reliable
LBY_000033,KO-046,Reliable
LBY_000034,KO-016,Reliable
LBY_000035,MU-312,Reliable
LBY_000036,MI-153,Reliable
LBY_000037,WM-011,Reliable
LBY_000038,WM-059,Reliable
LBY_000039,SA-087,Reliable
LBY_000040,MU-386,Reliable
LBY_000041,KU-170,Reliable
LBY_000042,MI-023,Reliable
LBY_000043,TR-138,Reliable
LBY_000044,MU-129,Reliable
LBY_000045,SA-019,Reliable
LBY_000046,WM-374,Reliable
LBY_000047,BI-207,Reliable
LBY_000048,WS-018,Reliable
LBY_000049,BI-496,Reliable
LBY_000050,TR-005,Reliable
LBY_000051,WM-026,Reliable
LBY_000052,NA-059,Reliable
LBY_000053,TR-460,Reliable
LBY_000054,NA-058,Reliable
LBY_000055,MA-130,Reliable
LBY_000056,MU-112,Reliable
LBY_000057,MA-058,Reliable
LBY_000058,MU-194,Reliable
LBY_000059,MU-244,Reliable
LBY_000060,TR-519,Reliable
LBY_000061,KO-020,Reliable
LBY_000062,JA-203,Reliable
LBY_000063,KU-112,Reliable
LBY_000064,WM-275,Reliable
LBY_000065,TR-377,Reliable
LBY_000066,MI-503,Reliable
