geo_id,source_id,country,school_name,school_name_romanized,isced_level,school_type,sector,adm0,adm1,adm2,adm3,urban_rural,ghsl_smod_code,ghsl_urban_rural,latitude,longitude,coordinate_source,coordinate_precision,status
PER_000001,546390,PER,00009 TUPAC AMARU,,1,Primaria,public,Peru,San Martín,Rioja,,rural,12,rural,-5.83746,-77.43071,official_emis,exact,open
PER_000002,1018555,PER,0001 ALBERTO UPIACHIHUA PUYO,,1,Primaria,public,Peru,San Martín,Bellavista,,rural,12,rural,-7.66178,-76.4758,official_emis,exact,open
PER_000003,1018795,PER,0001 JOSE ABELARDO QUIÑONEZ GONZALEZ,,1,Primaria,public,Peru,San Martín,Mariscal Caceres,,urban,21,peri_urban,-7.16958,-76.73366,official_emis,exact,open
PER_000004,334821,PER,0001 MARIA AUXILIADORA,,1,Primaria,public,Peru,Municipalidad Metropolitana de Lima,Lima,,urban,30,urban,-12.04671,-77.01373,official_emis,exact,open
PER_000005,466730,PER,0001 MARIA AUXILIADORA,,2|3,Secundaria,public,Peru,Municipalidad Metropolitana de Lima,Lima,,urban,30,urban,-12.04671,-77.01373,official_emis,exact,open
PER_000006,334839,PER,0002 HERMANO ANSELMO MARIA,,1,Primaria,public,Peru,Municipalidad Metropolitana de Lima,Lima,,urban,30,urban,-12.0562,-77.04272,official_emis,exact,open
PER_000007,556266,PER,0002 HERMANO ANSELMO MARIA,,2|3,Secundaria,public,Peru,Municipalidad Metropolitana de Lima,Lima,,urban,30,urban,-12.0562,-77.04272,official_emis,exact,open
PER_000008,1018928,PER,0002 NICOLAS GUILLERMO VELASQUEZ LINARES,,1,Primaria,public,Peru,San Martín,Mariscal Caceres,,rural,11,rural,-7.30591,-76.93494,official_emis,exact,open
PER_000009,1459767,PER,0002 NICOLAS GUILLERMO VELASQUEZ LINARES,,2|3,Secundaria,public,Peru,San Martín,Mariscal Caceres,,rural,11,rural,-7.30591,-76.93494,official_emis,exact,open
PER_000010,559112,PER,00021 RICARDO PALMA,,1,Primaria,public,Peru,San Martín,Moyobamba,,urban,13,rural,-5.8779,-77.1206,official_emis,exact,open
PER_000011,559120,PER,00023 FERNANDO BELAUNDE TERRY,,1,Primaria,public,Peru,San Martín,Lamas,,rural,12,rural,-6.1091,-76.8375,official_emis,exact,open
PER_000012,1018597,PER,0003 ELEAZAR FASABI ZATALAYA,,1,Primaria,public,Peru,San Martín,Bellavista,,rural,12,rural,-7.69099,-76.49157,official_emis,exact,open
PER_000013,1800960,PER,0003 ELEAZAR FASABI ZATALAYA,,2|3,Secundaria,public,Peru,San Martín,Bellavista,,rural,12,rural,-7.69099,-76.49157,official_emis,exact,open
PER_000014,1391481,PER,0003 NUESTRA SEÑORA DEL CARMEN,,1,Primaria,public,Peru,Municipalidad Metropolitana de Lima,Lima,,urban,30,urban,-12.08085,-77.10076,official_emis,exact,open
PER_000015,337717,PER,0003 NUESTRA SEÑORA DEL CARMEN,,2|3,Secundaria,public,Peru,Municipalidad Metropolitana de Lima,Lima,,urban,30,urban,-12.08085,-77.10076,official_emis,exact,open
PER_000016,334847,PER,0004 MARIANO MELGAR,,1,Primaria,public,Peru,Municipalidad Metropolitana de Lima,Lima,,urban,30,urban,-12.06219,-77.05445,official_emis,exact,open
PER_000017,1095686,PER,0004 TUPAC AMARU,,2|3,Secundaria,public,Peru,San Martín,San Martin,,urban,30,urban,-6.49085,-76.37566,official_emis,exact,open
PER_000018,564732,PER,0004 TUPAC AMARU,,1,Primaria,public,Peru,San Martín,San Martin,,urban,30,urban,-6.49085,-76.37566,official_emis,exact,open
PER_000019,273540,PER,0005 ANTONIO RAYMONDI,,2|3,Secundaria,public,Peru,San Martín,Huallaga,,urban,23,urban,-6.9361,-76.7701,official_emis,exact,open
PER_000020,537183,PER,0005 DANIEL ALCIDES CARRION,,2|3,Secundaria,public,Peru,San Martín,Bellavista,,rural,12,rural,-7.0273,-76.46396,official_emis,exact,open
PER_000021,334722,PER,0005 ROSA DE SANTA MARIA,,2|3,Secundaria,public,Peru,Municipalidad Metropolitana de Lima,Lima,,urban,30,urban,-12.05362,-77.04543,official_emis,exact,open
PER_000022,334862,PER,0005 ROSA DE SANTA MARIA,,1,Primaria,public,Peru,Municipalidad Metropolitana de Lima,Lima,,urban,30,urban,-12.05362,-77.04543,official_emis,exact,open
PER_000023,300228,PER,0005 SAN JOSE OBRERO,,1,Primaria,public,Peru,San Martín,Bellavista,,rural,22,urban,-7.03807,-76.49553,official_emis,exact,open
PER_000024,1578723,PER,0007 MANUEL GONZALES PRADA,,2|3,Secundaria,public,Peru,San Martín,Mariscal Caceres,,rural,11,rural,-7.3669,-76.6017,official_emis,exact,open
PER_000025,854240,PER,0007 MANUEL GONZALES PRADA,,1,Primaria,public,Peru,San Martín,Mariscal Caceres,,rural,11,rural,-7.3669,-76.6017,official_emis,exact,open
PER_000026,1238658,PER,0008 JULIO RAMON RIBEYRO,,1,Primaria,public,Peru,San Martín,Bellavista,,rural,12,rural,-7.32634,-76.27726,official_emis,exact,open
PER_000027,1718535,PER,0008 JULIO RAMON RIBEYRO,,2|3,Secundaria,public,Peru,San Martín,Bellavista,,rural,12,rural,-7.32634,-76.27726,official_emis,exact,open
PER_000028,677344,PER,0009 BILINGUE CESAR VALLEJO,,1,Primaria,public,Peru,San Martín,El Dorado,,rural,12,rural,-6.6503,-76.7193,official_emis,exact,open
PER_000029,334896,PER,0009 JOSE MARIA ARGUEDAS,,1,Primaria,public,Peru,Municipalidad Metropolitana de Lima,Lima,,urban,30,urban,-12.02803,-76.98938,official_emis,exact,open
PER_000030,664912,PER,0009 JOSE MARIA ARGUEDAS,,2|3,Secundaria,public,Peru,Municipalidad Metropolitana de Lima,Lima,,urban,30,urban,-12.02803,-76.98938,official_emis,exact,open
PER_000031,1136878,PER,001 JOSE LISHNER TUDELA,,2|3,Secundaria,public,Peru,Tumbes,Tumbes,,urban,30,urban,-3.56319,-80.4559,official_emis,exact,open
PER_000032,348375,PER,001 JOSE LISHNER TUDELA,,1,Primaria,public,Peru,Tumbes,Tumbes,,urban,30,urban,-3.56319,-80.4559,official_emis,exact,open
PER_000033,548131,PER,0010 JULIO PIZARRO CARDENAS,,2|3,Secundaria,public,Peru,San Martín,Huallaga,,rural,12,rural,-7.0944,-76.6424,official_emis,exact,open
PER_000034,334904,PER,0011 MADRE LORETO GABARRE,,1,Primaria,public,Peru,Municipalidad Metropolitana de Lima,Lima,,urban,30,urban,-12.07568,-77.06157,official_emis,exact,open
PER_000035,1120096,PER,00110 LINORIO CHAVEZ HERNANDEZ,,2|3,Secundaria,public,Peru,San Martín,Rioja,,rural,13,rural,-5.7767,-77.3183,official_emis,exact,open
PER_000036,564401,PER,00110 LINORIO CHAVEZ HERNANDEZ,,1,Primaria,public,Peru,San Martín,Rioja,,rural,13,rural,-5.7767,-77.3183,official_emis,exact,open
PER_000037,564468,PER,00111 WALTER B. VARGAS ROJAS,,1,Primaria,public,Peru,San Martín,Moyobamba,,rural,13,rural,-6.21292,-76.91542,official_emis,exact,open
PER_000038,1319706,PER,00112 JUAN PABLO II,,2|3,Secundaria,public,Peru,San Martín,Lamas,,rural,12,rural,-6.1458,-76.8148,official_emis,exact,open
PER_000039,564492,PER,00112 JUAN PABLO II,,1,Primaria,public,Peru,San Martín,Lamas,,rural,12,rural,-6.1458,-76.8148,official_emis,exact,open
PER_000040,334912,PER,0013 BERNARDO O'HIGGINS,,1,Primaria,public,Peru,Municipalidad Metropolitana de Lima,Lima,,urban,30,urban,-12.07964,-77.07266,official_emis,exact,open
PER_000041,555862,PER,0013 BERNARDO O'HIGGINS,,2|3,Secundaria,public,Peru,Municipalidad Metropolitana de Lima,Lima,,urban,30,urban,-12.07964,-77.07266,official_emis,exact,open
PER_000042,1018878,PER,0013 MAXIMINO CEREZO BARREDO,,1,Primaria,public,Peru,San Martín,Mariscal Caceres,,urban,21,peri_urban,-7.19526,-76.73442,official_emis,exact,open
PER_000043,789040,PER,0013 MAXIMINO CEREZO BARREDO,,2|3,Secundaria,public,Peru,San Martín,Mariscal Caceres,,urban,21,peri_urban,-7.19526,-76.73442,official_emis,exact,open
PER_000044,334920,PER,0014 ANDRES BELLO,,1,Primaria,public,Peru,Municipalidad Metropolitana de Lima,Lima,,urban,30,urban,-12.0802,-77.07443,official_emis,exact,open
PER_000045,847129,PER,0014 CORONEL LEONCIO PRADO,,1,Primaria,public,Peru,San Martín,Bellavista,,rural,12,rural,-6.84777,-76.55978,official_emis,exact,open
PER_000046,1206325,PER,0014 JUAN VELASCO ALVARADO,,2|3,Secundaria,public,Peru,San Martín,Tocache,,rural,12,rural,-8.36876,-76.42634,official_emis,exact,open
