geo_id,year,enrollment_total,enrollment_male,enrollment_female,teachers_total,teachers_male,teachers_female,teachers_qualified,pupil_teacher_ratio,classrooms_total
CRI_000215,2014,1210,612,598,,,,,,
CRI_001512,2014,1019,517,502,,,,,,
CRI_000048,2014,1783,934,849,,,,,,
CRI_000043,2014,1219,597,622,,,,,,
CRI_001274,2014,534,265,269,,,,,,
CRI_000108,2014,1428,699,729,,,,,,
CRI_001485,2014,1158,607,551,,,,,,
CRI_001409,2014,999,499,500,,,,,,
CRI_003730,2014,629,308,321,,,,,,
CRI_000124,2014,1584,831,753,,,,,,
CRI_000090,2014,1183,594,589,,,,,,
CRI_000188,2014,1208,596,612,,,,,,
CRI_000241,2014,794,388,406,,,,,,
CRI_000071,2014,648,343,305,,,,,,
CRI_001509,2014,1185,587,598,,,,,,
CRI_000033,2014,1104,557,547,,,,,,
CRI_000030,2014,847,439,408,,,,,,
CRI_000211,2014,764,381,383,,,,,,
CRI_000243,2014,1013,530,483,,,,,,
CRI_000111,2014,1000,501,499,,,,,,
CRI_000022,2014,1023,496,527,,,,,,
CRI_000105,2014,1189,610,579,,,,,,
CRI_001152,2014,467,225,242,,,,,,
CRI_000131,2014,654,346,308,,,,,,
CRI_000121,2014,983,493,490,,,,,,
CRI_001708,2014,797,423,374,,,,,,
CRI_000082,2014,725,385,340,,,,,,
CRI_001386,2014,915,463,452,,,,,,
CRI_001359,2014,1026,510,516,,,,,,
CRI_001721,2014,588,318,270,,,,,,
CRI_000150,2014,1048,521,527,,,,,,
CRI_003111,2014,823,430,393,,,,,,
CRI_000717,2014,323,182,141,,,,,,
CRI_000732,2014,797,414,383,,,,,,
CRI_000126,2014,1130,584,546,,,,,,
CRI_000056,2014,938,502,436,,,,,,
CRI_003085,2014,879,431,448,,,,,,
CRI_001722,2014,803,397,406,,,,,,
CRI_000858,2014,628,330,298,,,,,,
CRI_000831,2014,593,273,320,,,,,,
CRI_001778,2014,964,492,472,,,,,,
CRI_002252,2014,970,509,461,,,,,,
CRI_000744,2014,623,315,308,,,,,,
CRI_001716,2014,602,319,283,,,,,,
CRI_001794,2014,911,465,446,,,,,,
CRI_001781,2014,893,437,456,,,,,,
CRI_001709,2014,867,440,427,,,,,,
CRI_000235,2014,531,252,279,,,,,,
CRI_000842,2014,771,411,360,,,,,,
CRI_000010,2014,856,415,441,,,,,,
CRI_002081,2014,606,310,296,,,,,,
CRI_003145,2014,593,306,287,,,,,,
CRI_003212,2014,692,352,340,,,,,,
CRI_001724,2014,730,384,346,,,,,,
CRI_000060,2014,669,341,328,,,,,,
CRI_000210,2014,1184,602,582,,,,,,
CRI_000191,2014,765,382,383,,,,,,
CRI_000856,2014,664,344,320,,,,,,
CRI_000107,2014,675,333,342,,,,,,
CRI_002169,2014,580,290,290,,,,,,
CRI_000206,2014,958,472,486,,,,,,
CRI_000055,2014,534,304,230,,,,,,
CRI_001797,2014,396,217,179,,,,,,
CRI_001891,2014,736,369,367,,,,,,
CRI_000026,2014,836,410,426,,,,,,
CRI_001407,2014,1135,557,578,,,,,,
CRI_001780,2014,632,316,316,,,,,,
CRI_001211,2014,571,286,285,,,,,,
CRI_000020,2014,872,425,447,,,,,,
CRI_002279,2014,580,282,298,,,,,,
CRI_001760,2014,331,159,172,,,,,,
CRI_002372,2014,454,247,207,,,,,,
CRI_000089,2014,970,481,489,,,,,,
CRI_000095,2014,771,401,370,,,,,,
CRI_001860,2014,720,371,349,,,,,,
CRI_000242,2014,832,433,399,,,,,,
CRI_000768,2014,466,240,226,,,,,,
CRI_000833,2014,1161,579,582,,,,,,
CRI_003865,2014,768,394,374,,,,,,
CRI_001772,2014,845,422,423,,,,,,
CRI_000916,2014,581,313,268,,,,,,
CRI_000123,2014,531,257,274,,,,,,
CRI_000061,2014,605,287,318,,,,,,
CRI_001361,2014,488,262,226,,,,,,
CRI_000027,2014,945,492,453,,,,,,
CRI_000106,2014,675,328,347,,,,,,
CRI_001413,2014,677,340,337,,,,,,
CRI_003694,2014,648,328,320,,,,,,
CRI_000915,2014,452,239,213,,,,,,
CRI_000013,2014,1032,497,535,,,,,,
CRI_001507,2014,415,205,210,,,,,,
CRI_000818,2014,276,136,140,,,,,,
CRI_001726,2014,605,313,292,,,,,,
CRI_001377,2014,568,303,265,,,,,,
CRI_000738,2014,495,260,235,,,,,,
CRI_000764,2014,619,333,286,,,,,,
CRI_000044,2014,817,417,400,,,,,,
CRI_000851,2014,514,286,228,,,,,,
CRI_001331,2014,709,361,348,,,,,,
CRI_000079,2014,937,503,434,,,,,,
CRI_001449,2014,638,339,299,,,,,,
CRI_002273,2014,429,226,203,,,,,,
CRI_000034,2014,636,333,303,,,,,,
CRI_002423,2014,577,308,269,,,,,,
CRI_000104,2014,457,215,242,,,,,,
CRI_003131,2014,587,306,281,,,,,,
CRI_000934,2014,683,345,338,,,,,,
CRI_000085,2014,449,247,202,,,,,,
CRI_000029,2014,603,305,298,,,,,,
CRI_001126,2014,427,245,182,,,,,,
CRI_002948,2014,514,261,253,,,,,,
CRI_001697,2014,549,293,256,,,,,,
CRI_000790,2014,643,343,300,,,,,,
CRI_001789,2014,1003,506,497,,,,,,
CRI_003144,2014,419,222,197,,,,,,
CRI_002807,2014,616,319,297,,,,,,
CRI_000096,2014,760,395,365,,,,,,
CRI_002244,2014,559,280,279,,,,,,
CRI_000133,2014,660,318,342,,,,,,
CRI_000109,2014,641,340,301,,,,,,
CRI_000070,2014,450,211,239,,,,,,
CRI_000110,2014,397,199,198,,,,,,
CRI_000813,2014,516,290,226,,,,,,
CRI_000784,2014,842,441,401,,,,,,
CRI_000809,2014,997,550,447,,,,,,
CRI_001784,2014,290,165,125,,,,,,
CRI_002141,2014,588,278,310,,,,,,
CRI_000154,2014,412,216,196,,,,,,
CRI_001190,2014,505,260,245,,,,,,
CRI_000707,2014,195,82,113,,,,,,
CRI_000162,2014,1100,546,554,,,,,,
CRI_002843,2014,711,380,331,,,,,,
CRI_000098,2014,537,281,256,,,,,,
CRI_001866,2014,430,212,218,,,,,,
CRI_001484,2014,714,371,343,,,,,,
CRI_000348,2014,561,279,282,,,,,,
CRI_000244,2014,537,267,270,,,,,,
CRI_000094,2014,429,224,205,,,,,,
CRI_001779,2014,551,298,253,,,,,,
CRI_001608,2014,551,297,254,,,,,,
CRI_000141,2014,747,413,334,,,,,,
CRI_000035,2014,399,213,186,,,,,,
CRI_001382,2014,757,381,376,,,,,,
CRI_000006,2014,642,344,298,,,,,,
CRI_001500,2014,586,303,283,,,,,,
CRI_000963,2014,666,325,341,,,,,,
CRI_000234,2014,378,203,175,,,,,,
CRI_000086,2014,596,317,279,,,,,,
CRI_001153,2014,482,232,250,,,,,,
CRI_000209,2014,821,428,393,,,,,,
CRI_000038,2014,481,239,242,,,,,,
CRI_001204,2014,288,154,134,,,,,,
CRI_002817,2014,492,272,220,,,,,,
CRI_001831,2014,998,513,485,,,,,,
CRI_000914,2014,207,104,103,,,,,,
CRI_001799,2014,827,409,418,,,,,,
CRI_000051,2014,446,251,195,,,,,,
CRI_000014,2014,439,239,200,,,,,,
CRI_002379,2014,413,239,174,,,,,,
CRI_000517,2014,286,132,154,,,,,,
CRI_001743,2014,702,349,353,,,,,,
CRI_002352,2014,459,217,242,,,,,,
CRI_001894,2014,570,293,277,,,,,,
CRI_003103,2014,432,206,226,,,,,,
CRI_000091,2014,407,212,195,,,,,,
CRI_000196,2014,262,142,120,,,,,,
CRI_002581,2014,259,143,116,,,,,,
CRI_001880,2014,763,367,396,,,,,,
CRI_000908,2014,494,244,250,,,,,,
CRI_000057,2014,404,208,196,,,,,,
CRI_003121,2014,492,256,236,,,,,,
CRI_000080,2014,453,227,226,,,,,,
CRI_000018,2014,548,308,240,,,,,,
CRI_000093,2014,843,432,411,,,,,,
CRI_000119,2014,402,221,181,,,,,,
CRI_001430,2014,460,248,212,,,,,,
CRI_002377,2014,444,226,218,,,,,,
CRI_003731,2014,520,264,256,,,,,,
CRI_001273,2014,406,193,213,,,,,,
CRI_002363,2014,250,130,120,,,,,,
CRI_003060,2014,430,228,202,,,,,,
CRI_001864,2014,335,175,160,,,,,,
CRI_003105,2014,247,125,122,,,,,,
CRI_000783,2014,630,297,333,,,,,,
CRI_000865,2014,304,151,153,,,,,,
CRI_000189,2014,364,180,184,,,,,,
CRI_000054,2014,333,173,160,,,,,,
CRI_001375,2014,306,165,141,,,,,,
CRI_000074,2014,457,228,229,,,,,,
CRI_000062,2014,439,224,215,,,,,,
CRI_002521,2014,233,112,121,,,,,,
CRI_000047,2014,485,253,232,,,,,,
CRI_000733,2014,367,188,179,,,,,,
CRI_001529,2014,394,191,203,,,,,,
CRI_002808,2014,271,154,117,,,,,,
CRI_002024,2014,541,269,272,,,,,,
CRI_002956,2014,598,294,304,,,,,,
CRI_002129,2014,553,281,272,,,,,,
CRI_000064,2014,621,329,292,,,,,,
CRI_003747,2014,578,297,281,,,,,,
CRI_001482,2014,340,166,174,,,,,,
CRI_000921,2014,360,186,174,,,,,,
CRI_003143,2014,225,103,122,,,,,,
CRI_003214,2014,621,312,309,,,,,,
CRI_001758,2014,509,267,242,,,,,,
CRI_002906,2014,629,330,299,,,,,,
CRI_002123,2014,365,172,193,,,,,,
CRI_002067,2014,206,98,108,,,,,,
CRI_001393,2014,362,199,163,,,,,,
CRI_002864,2014,988,513,475,,,,,,
CRI_000194,2014,526,270,256,,,,,,
CRI_000737,2014,794,389,405,,,,,,
CRI_001739,2014,372,194,178,,,,,,
CRI_001469,2014,366,201,165,,,,,,
CRI_000820,2014,289,143,146,,,,,,
CRI_000431,2014,416,205,211,,,,,,
CRI_003711,2014,391,194,197,,,,,,
CRI_000161,2014,279,126,153,,,,,,
CRI_001118,2014,334,150,184,,,,,,
CRI_002879,2014,499,245,254,,,,,,
CRI_001824,2014,326,180,146,,,,,,
CRI_002277,2014,254,151,103,,,,,,
CRI_001788,2014,402,195,207,,,,,,
CRI_000966,2014,254,144,110,,,,,,
CRI_000646,2014,401,191,210,,,,,,
CRI_001748,2014,404,201,203,,,,,,
CRI_001768,2014,306,160,146,,,,,,
CRI_001801,2014,306,144,162,,,,,,
CRI_001690,2014,583,284,299,,,,,,
CRI_000120,2014,682,376,306,,,,,,
CRI_001161,2014,560,276,284,,,,,,
