geo_id,year,enrollment_total,enrollment_male,enrollment_female,teachers_total,teachers_male,teachers_female,teachers_qualified,pupil_teacher_ratio,classrooms_total
HND_011952,2009,70,42,28,,,,,,
HND_014188,2009,53,26,27,,,,,,
HND_005823,2009,821,405,416,,,,,,
HND_011946,2009,230,117,113,,,,,,
HND_008520,2009,21,14,7,,,,,,
HND_013233,2009,549,283,266,,,,,,
HND_005382,2009,54,31,23,,,,,,
HND_003418,2009,23,9,14,,,,,,
HND_012211,2009,10,6,4,,,,,,
HND_006734,2009,109,51,58,,,,,,
HND_011290,2009,55,34,21,,,,,,
HND_016127,2009,47,31,16,,,,,,
HND_002678,2009,2154,1033,1121,,,,,,
HND_013727,2009,52,25,27,,,,,,
HND_006436,2009,20,7,13,,,,,,
HND_006434,2009,14,7,7,,,,,,
HND_003820,2009,955,370,585,,,,,,
HND_001767,2009,66,35,31,,,,,,
HND_015087,2009,19,13,6,,,,,,
HND_012616,2009,72,43,29,,,,,,
HND_002219,2009,79,39,40,,,,,,
HND_006092,2009,0,0,0,,,,,,
HND_016563,2009,59,24,35,,,,,,
HND_012774,2009,10,3,7,,,,,,
HND_015380,2009,52,19,33,,,,,,
HND_004396,2009,70,31,39,,,,,,
HND_009541,2009,132,62,70,,,,,,
HND_004840,2009,91,41,50,,,,,,
HND_014274,2009,96,44,52,,,,,,
HND_002579,2009,167,91,76,,,,,,
HND_002720,2009,76,43,33,,,,,,
HND_009859,2009,234,110,124,,,,,,
HND_012013,2009,102,52,50,,,,,,
HND_003119,2009,78,43,35,,,,,,
HND_006159,2009,64,31,33,,,,,,
HND_004482,2009,53,28,25,,,,,,
HND_015869,2009,352,188,164,,,,,,
HND_016607,2009,20,9,11,,,,,,
HND_006438,2009,18,7,11,,,,,,
HND_006432,2009,24,10,14,,,,,,
HND_006454,2009,26,15,11,,,,,,
HND_006443,2009,14,10,4,,,,,,
HND_004636,2009,9,5,4,,,,,,
HND_011303,2009,252,126,126,,,,,,
HND_003979,2009,21,8,13,,,,,,
HND_008555,2009,234,118,116,,,,,,
HND_015538,2009,83,49,34,,,,,,
HND_001047,2009,68,28,40,,,,,,
HND_001382,2009,118,63,55,,,,,,
HND_009848,2009,115,63,52,,,,,,
HND_002206,2009,155,84,71,,,,,,
HND_000131,2009,253,129,124,,,,,,
HND_010980,2009,290,144,146,,,,,,
HND_008140,2009,152,79,73,,,,,,
HND_007589,2009,143,75,68,,,,,,
HND_000849,2009,220,102,118,,,,,,
HND_001885,2009,139,64,75,,,,,,
HND_016639,2009,64,37,27,,,,,,
HND_004154,2009,103,67,36,,,,,,
HND_014675,2009,85,40,45,,,,,,
HND_011012,2009,82,47,35,,,,,,
HND_014377,2009,54,26,28,,,,,,
HND_012011,2009,111,53,58,,,,,,
HND_010374,2009,53,29,24,,,,,,
HND_003057,2009,100,55,45,,,,,,
HND_000244,2009,24,10,14,,,,,,
HND_004116,2009,128,67,61,,,,,,
HND_015275,2009,47,32,15,,,,,,
HND_001990,2009,57,37,20,,,,,,
HND_016078,2009,28,13,15,,,,,,
HND_006713,2009,100,52,48,,,,,,
HND_016867,2009,66,30,36,,,,,,
HND_006060,2009,85,46,39,,,,,,
HND_013996,2009,46,25,21,,,,,,
HND_002066,2009,40,18,22,,,,,,
HND_014501,2009,26,12,14,,,,,,
HND_015207,2009,21,7,14,,,,,,
HND_014344,2009,14,12,2,,,,,,
HND_011990,2009,509,223,286,,,,,,
HND_015043,2009,100,49,51,,,,,,
HND_006442,2009,16,9,7,,,,,,
HND_006428,2009,29,11,18,,,,,,
HND_006359,2009,30,15,15,,,,,,
HND_006065,2009,26,16,10,,,,,,
HND_000988,2009,19,6,13,,,,,,
HND_013621,2009,23,13,10,,,,,,
HND_000622,2009,98,46,52,,,,,,
HND_013457,2009,34,15,19,,,,,,
HND_008624,2009,57,25,32,,,,,,
HND_015182,2009,17,8,9,,,,,,
HND_010177,2009,27,14,13,,,,,,
HND_004291,2009,13,7,6,,,,,,
HND_001490,2009,22,10,12,,,,,,
HND_012609,2009,15,10,5,,,,,,
HND_012617,2009,22,10,12,,,,,,
HND_016179,2009,9,5,4,,,,,,
HND_013776,2009,12,8,4,,,,,,
HND_010825,2009,7,2,5,,,,,,
HND_000039,2009,32,16,16,,,,,,
HND_014970,2009,222,110,112,,,,,,
HND_014648,2009,66,32,34,,,,,,
HND_013251,2009,387,189,198,,,,,,
HND_014728,2009,50,26,24,,,,,,
HND_010981,2009,96,42,54,,,,,,
HND_008423,2009,31,17,14,,,,,,
HND_011950,2009,46,20,26,,,,,,
HND_011949,2009,38,20,18,,,,,,
HND_014747,2009,66,39,27,,,,,,
HND_011948,2009,44,22,22,,,,,,
HND_002894,2009,102,58,44,,,,,,
HND_004665,2009,134,63,71,,,,,,
HND_008435,2009,170,86,84,,,,,,
HND_004090,2009,49,21,28,,,,,,
HND_011627,2009,40,23,17,,,,,,
HND_002309,2009,42,15,27,,,,,,
HND_014404,2009,57,23,34,,,,,,
HND_003884,2009,15,5,10,,,,,,
HND_013583,2009,116,56,60,,,,,,
HND_014687,2009,27,17,10,,,,,,
HND_014748,2009,32,15,17,,,,,,
HND_009961,2009,38,25,13,,,,,,
HND_006198,2009,73,37,36,,,,,,
HND_009994,2009,51,25,26,,,,,,
HND_013664,2009,31,14,17,,,,,,
HND_006756,2009,38,18,20,,,,,,
HND_001174,2009,20,14,6,,,,,,
HND_012065,2009,30,17,13,,,,,,
HND_009153,2009,23,13,10,,,,,,
HND_011031,2009,73,39,34,,,,,,
HND_013384,2009,249,127,122,,,,,,
HND_012850,2009,9,5,4,,,,,,
HND_013623,2009,9,5,4,,,,,,
HND_000579,2009,16,10,6,,,,,,
HND_003591,2009,14,4,10,,,,,,
HND_012333,2009,7,1,6,,,,,,
HND_014609,2009,9,5,4,,,,,,
HND_001698,2009,7,4,3,,,,,,
HND_013698,2009,91,54,37,,,,,,
HND_007517,2009,14,6,8,,,,,,
HND_000705,2009,19,8,11,,,,,,
HND_004302,2009,6,5,1,,,,,,
HND_013551,2009,8,4,4,,,,,,
HND_010511,2009,5,1,4,,,,,,
HND_016822,2009,15,10,5,,,,,,
HND_006050,2009,11,3,8,,,,,,
HND_010151,2009,9,5,4,,,,,,
HND_014071,2009,130,61,69,,,,,,
