geo_id,year,water_basic,water_improved,sanitation_basic,sanitation_sex_separated,handwashing_basic,electricity,internet,internet_type,computers,library,classrooms_total
HND_011952,2011,1,1,,,,0,0,,0,,
HND_014188,2011,1,1,,,,0,0,,0,,
HND_005823,2011,1,1,,,,1,0,,1,,
HND_011946,2011,1,1,,,,1,0,,1,,
HND_008520,2011,1,0,,,,0,0,,0,,
HND_013233,2011,1,1,,,,1,0,,1,,
HND_005382,2011,1,1,,,,0,0,,0,,
HND_003418,2011,1,0,,,,1,0,,0,,
HND_012211,2011,1,1,,,,0,0,,0,,
HND_006734,2011,1,1,,,,1,0,,0,,
HND_011290,2011,1,1,,,,1,0,,0,,
HND_016127,2011,1,1,,,,1,0,,0,,
HND_002678,2011,1,1,,,,1,0,,1,,
HND_013727,2011,1,1,,,,1,0,,0,,
HND_006436,2011,1,1,,,,1,0,,0,,
HND_006434,2011,1,1,,,,0,0,,0,,
HND_003820,2011,1,1,,,,1,0,,1,,
HND_001767,2011,1,1,,,,0,0,,0,,
HND_001197,2011,,,,,,,0,,0,,
HND_015087,2011,1,1,,,,1,0,,0,,
HND_012616,2011,1,1,,,,1,0,,0,,
HND_002219,2011,1,1,,,,0,0,,0,,
HND_006092,2011,,,,,,,0,,0,,
HND_016563,2011,1,0,,,,0,0,,0,,
HND_012774,2011,,,,,,,0,,0,,
HND_015380,2011,1,1,,,,1,0,,0,,
HND_004396,2011,1,1,,,,0,0,,0,,
HND_009541,2011,1,1,,,,1,0,,1,,
HND_004840,2011,1,1,,,,1,0,,0,,
HND_014274,2011,1,0,,,,1,0,,0,,
HND_002579,2011,1,1,,,,1,0,,1,,
HND_002720,2011,,0,,,,0,0,,0,,
HND_009859,2011,1,1,,,,1,0,,1,,
HND_012013,2011,1,1,,,,1,0,,0,,
HND_003119,2011,1,1,,,,0,0,,0,,
HND_006159,2011,1,1,,,,1,0,,0,,
HND_004482,2011,1,1,,,,0,0,,0,,
HND_015869,2011,1,1,,,,1,0,,1,,
HND_016607,2011,1,0,,,,0,0,,0,,
HND_006438,2011,1,1,,,,0,0,,0,,
HND_006432,2011,1,1,,,,1,0,,0,,
HND_006454,2011,1,1,,,,1,0,,0,,
HND_006443,2011,1,1,,,,0,0,,0,,
HND_004636,2011,,,,,,,0,,0,,
HND_011303,2011,1,1,,,,1,0,,1,,
HND_003979,2011,1,1,,,,1,0,,0,,
HND_008555,2011,1,1,,,,1,0,,1,,
HND_015538,2011,1,1,,,,0,0,,0,,
HND_001047,2011,1,0,,,,0,0,,0,,
HND_001382,2011,1,1,,,,0,0,,0,,
HND_009848,2011,1,1,,,,1,0,,0,,
HND_002206,2011,1,1,,,,1,0,,0,,
HND_000131,2011,1,1,,,,1,0,,0,,
HND_010980,2011,1,1,,,,1,0,,1,,
HND_008140,2011,1,0,,,,1,0,,1,,
HND_007589,2011,1,1,,,,1,0,,0,,
HND_000849,2011,1,0,,,,1,0,,1,,
HND_001885,2011,1,1,,,,1,0,,0,,
HND_016639,2011,1,1,,,,1,0,,0,,
HND_004154,2011,1,1,,,,1,0,,0,,
HND_014675,2011,1,0,,,,1,0,,0,,
HND_011012,2011,1,1,,,,0,0,,0,,
HND_014377,2011,1,1,,,,1,0,,0,,
HND_012011,2011,1,1,,,,1,0,,0,,
HND_010374,2011,0,0,,,,1,0,,0,,
HND_003057,2011,1,1,,,,0,0,,0,,
HND_000244,2011,1,1,,,,0,0,,0,,
HND_004116,2011,1,1,,,,0,0,,0,,
HND_015275,2011,1,1,,,,0,0,,0,,
HND_001990,2011,1,1,,,,1,0,,0,,
HND_016078,2011,1,1,,,,0,0,,0,,
HND_006713,2011,1,1,,,,0,0,,0,,
HND_016867,2011,1,1,,,,1,0,,0,,
HND_006060,2011,,0,,,,1,0,,0,,
HND_013996,2011,1,1,,,,1,0,,0,,
HND_002066,2011,1,1,,,,1,0,,0,,
HND_014501,2011,1,1,,,,1,0,,0,,
HND_015207,2011,1,1,,,,1,0,,0,,
HND_014344,2011,1,1,,,,1,0,,0,,
HND_011990,2011,1,1,,,,1,0,,1,,
HND_015043,2011,1,1,,,,1,0,,0,,
HND_006442,2011,1,1,,,,1,0,,0,,
HND_006428,2011,1,1,,,,0,0,,0,,
HND_006359,2011,,0,,,,1,0,,0,,
HND_006065,2011,1,1,,,,1,0,,0,,
HND_013621,2011,0,0,,,,0,0,,0,,
HND_000622,2011,1,1,,,,0,0,,0,,
HND_013457,2011,1,1,,,,1,0,,0,,
HND_008624,2011,1,1,,,,1,0,,0,,
HND_015182,2011,,,,,,,0,,0,,
HND_010177,2011,,,,,,,0,,0,,
HND_004291,2011,,,,,,,0,,0,,
HND_001490,2011,,,,,,,0,,0,,
HND_012609,2011,,,,,,,0,,0,,
HND_012617,2011,,,,,,,0,,0,,
HND_016179,2011,,,,,,,0,,0,,
HND_013776,2011,,,,,,,0,,0,,
HND_010825,2011,,,,,,,0,,0,,
HND_000039,2011,1,1,,,,1,0,,0,,
HND_014970,2011,1,1,,,,1,0,,1,,
HND_014648,2011,1,1,,,,1,0,,0,,
HND_013251,2011,1,1,,,,1,0,,1,,
HND_014728,2011,1,1,,,,1,0,,0,,
HND_010981,2011,1,1,,,,1,0,,0,,
HND_008423,2011,1,1,,,,0,0,,0,,
HND_011950,2011,1,1,,,,1,0,,0,,
HND_011949,2011,1,1,,,,1,0,,0,,
HND_014747,2011,1,0,,,,1,0,,0,,
HND_011948,2011,1,1,,,,0,0,,0,,
HND_002894,2011,1,1,,,,0,0,,0,,
HND_004665,2011,1,1,,,,1,0,,0,,
HND_008435,2011,1,1,,,,1,0,,0,,
HND_004090,2011,1,1,,,,1,0,,0,,
HND_011627,2011,1,1,,,,1,0,,0,,
HND_002309,2011,1,1,,,,1,0,,0,,
HND_014404,2011,1,1,,,,1,0,,0,,
HND_003884,2011,1,1,,,,1,0,,0,,
HND_013583,2011,1,1,,,,1,0,,0,,
HND_014687,2011,1,1,,,,1,0,,0,,
HND_014748,2011,1,1,,,,1,0,,0,,
HND_009961,2011,1,1,,,,1,0,,0,,
