geo_id,year,water_basic,water_improved,sanitation_basic,sanitation_sex_separated,handwashing_basic,electricity,internet,internet_type,computers,library
MEX_002028,2013,,,0,1,,1,0,,1,
MEX_012135,2013,1.0,,1,1,,1,1,,1,
MEX_097789,2013,1.0,,0,1,,1,1,,1,
MEX_115055,2013,1.0,,1,1,,1,1,,1,
MEX_081537,2013,1.0,,1,1,,1,1,,1,
MEX_128032,2013,1.0,,0,1,,1,1,,0,
MEX_013510,2013,1.0,,0,1,,1,0,,1,
MEX_050561,2013,1.0,,1,1,,1,1,,0,
MEX_144382,2013,1.0,,1,1,,1,1,,1,
MEX_006401,2013,1.0,,1,1,,1,1,,1,
MEX_141596,2013,1.0,,0,1,,1,0,,1,
MEX_035703,2013,1.0,,1,1,,1,1,,1,
MEX_100031,2013,,,0,1,,1,0,,1,
MEX_012708,2013,1.0,,0,1,,1,0,,0,
MEX_001951,2013,1.0,,0,1,,1,1,,1,
MEX_036821,2013,,,1,1,,1,0,,1,
MEX_066545,2013,1.0,,1,1,,1,1,,1,
MEX_090688,2013,1.0,,1,1,,1,0,,0,
MEX_023515,2013,1.0,,1,1,,1,1,,1,
MEX_088665,2013,1.0,,1,1,,1,1,,1,
MEX_058629,2013,1.0,,1,1,,1,1,,1,
MEX_140100,2013,1.0,,0,1,,1,1,,1,
MEX_140207,2013,1.0,,1,1,,1,1,,1,
MEX_000134,2013,1.0,,0,1,,1,1,,1,
MEX_089701,2013,1.0,,0,1,,1,0,,0,
MEX_038671,2013,1.0,,1,1,,1,0,,1,
MEX_091705,2013,1.0,,0,1,,1,0,,1,
MEX_093641,2013,1.0,,1,1,,1,0,,1,
MEX_098334,2013,1.0,,0,1,,1,0,,1,
MEX_038711,2013,1.0,,1,1,,1,0,,1,
MEX_082293,2013,1.0,,1,1,,1,1,,1,
MEX_112042,2013,1.0,,0,1,,1,1,,1,
MEX_036307,2013,,,1,1,,1,0,,1,
MEX_084165,2013,1.0,,1,1,,1,1,,0,
MEX_070809,2013,1.0,,1,1,,1,1,,1,
MEX_116854,2013,1.0,,1,1,,1,1,,1,
MEX_051555,2013,1.0,,1,1,,1,0,,1,
MEX_065763,2013,1.0,,1,1,,1,0,,1,
MEX_008148,2013,1.0,,1,1,,1,1,,1,
MEX_049534,2013,1.0,,1,1,,1,0,,0,
MEX_078538,2013,,,0,1,,1,0,,1,
MEX_069091,2013,1.0,,1,1,,1,1,,1,
MEX_095491,2013,,,1,1,,1,0,,1,
MEX_089986,2013,1.0,,1,1,,1,1,,1,
MEX_078341,2013,1.0,,1,1,,1,1,,0,
MEX_126142,2013,1.0,,1,1,,1,1,,1,
MEX_048178,2013,1.0,,0,1,,1,0,,1,
MEX_126790,2013,1.0,,0,1,,1,1,,1,
MEX_126801,2013,,,0,1,,1,0,,1,
MEX_001761,2013,1.0,,1,1,,1,0,,1,
MEX_086046,2013,1.0,,1,1,,1,1,,1,
MEX_046273,2013,1.0,,1,1,,1,1,,1,
MEX_066489,2013,1.0,,1,1,,1,1,,1,
MEX_009014,2013,1.0,,1,1,,1,1,,1,
MEX_054355,2013,1.0,,0,1,,1,1,,1,
MEX_048598,2013,1.0,,0,1,,1,1,,1,
MEX_076706,2013,1.0,,1,1,,1,1,,1,
MEX_007962,2013,1.0,,1,1,,1,0,,1,
MEX_036944,2013,1.0,,1,1,,1,1,,1,
MEX_008313,2013,,,1,1,,1,0,,1,
MEX_008237,2013,,,0,1,,1,1,,1,
MEX_068673,2013,1.0,,0,1,,1,1,,1,
MEX_000938,2013,1.0,,0,1,,1,1,,1,
MEX_087752,2013,1.0,,1,1,,1,1,,1,
MEX_086450,2013,,,0,1,,1,0,,0,
MEX_083479,2013,1.0,,0,1,,1,1,,1,
MEX_085511,2013,1.0,,0,1,,1,1,,1,
MEX_140120,2013,1.0,,0,1,,1,0,,0,
MEX_059183,2013,1.0,,1,1,,1,1,,1,
MEX_139953,2013,1.0,,0,0,,1,0,,0,
MEX_048250,2013,,,0,1,,1,0,,1,
MEX_103179,2013,1.0,,1,1,,1,1,,1,
MEX_005022,2013,1.0,,0,1,,1,1,,1,
MEX_112721,2013,1.0,,1,1,,1,1,,1,
MEX_085735,2013,1.0,,1,1,,1,1,,1,
MEX_058041,2013,1.0,,0,1,,1,1,,1,
MEX_012210,2013,1.0,,1,1,,1,0,,1,
MEX_069828,2013,1.0,,0,1,,1,1,,1,
MEX_032314,2013,,,0,1,,1,0,,0,
MEX_111700,2013,,,0,0,,0,0,,0,
MEX_032304,2013,,,0,1,,0,0,,0,
MEX_107730,2013,,,0,1,,0,0,,0,
MEX_112011,2013,1.0,,1,1,,1,0,,0,
MEX_028398,2013,1.0,,1,1,,1,0,,1,
MEX_112929,2013,1.0,,0,1,,1,1,,1,
MEX_081729,2013,1.0,,0,1,,1,1,,1,
MEX_148200,2013,,,1,1,,1,0,,1,
MEX_035380,2013,1.0,,1,1,,1,0,,1,
MEX_098172,2013,,,1,1,,1,0,,1,
MEX_076758,2013,,,0,1,,1,0,,1,
MEX_087157,2013,,,1,1,,1,0,,1,
MEX_112850,2013,,,1,1,,1,0,,1,
MEX_103316,2013,1.0,,0,1,,1,0,,1,
MEX_107359,2013,1.0,,1,1,,1,1,,1,
MEX_046769,2013,1.0,,0,1,,1,1,,1,
MEX_080135,2013,1.0,,0,1,,1,1,,1,
MEX_047100,2013,1.0,,0,1,,1,1,,1,
MEX_047498,2013,1.0,,1,1,,1,1,,1,
MEX_085587,2013,,,1,1,,1,0,,1,
MEX_036711,2013,1.0,,1,1,,1,1,,1,
MEX_151029,2013,1.0,,1,1,,1,1,,1,
MEX_059042,2013,1.0,,0,1,,1,0,,1,
MEX_067444,2013,1.0,,1,1,,1,1,,1,
MEX_104221,2013,,,1,1,,1,1,,1,
MEX_150825,2013,1.0,,1,1,,1,0,,1,
MEX_127277,2013,1.0,,0,1,,1,1,,1,
MEX_050385,2013,1.0,,0,1,,1,0,,1,
MEX_114823,2013,1.0,,1,1,,1,1,,1,
MEX_119609,2013,1.0,,0,1,,1,0,,1,
MEX_006109,2013,1.0,,0,1,,1,0,,1,
MEX_047615,2013,1.0,,0,1,,1,1,,1,
MEX_081561,2013,,,0,1,,1,0,,1,
MEX_011584,2013,1.0,,0,1,,1,1,,1,
MEX_070390,2013,1.0,,0,1,,1,0,,1,
MEX_091964,2013,1.0,,1,1,,1,0,,1,
MEX_076710,2013,,,0,1,,1,1,,1,
MEX_103806,2013,1.0,,0,0,,1,1,,0,
MEX_120104,2013,1.0,,0,1,,1,0,,1,
MEX_068647,2013,1.0,,0,1,,1,0,,1,
MEX_060582,2013,1.0,,1,1,,1,1,,1,
MEX_067392,2013,,,0,1,,1,0,,0,
MEX_146768,2013,1.0,,1,1,,1,1,,1,
MEX_117698,2013,1.0,,1,0,,1,1,,1,
MEX_023645,2013,1.0,,0,1,,1,0,,1,
MEX_150428,2013,1.0,,1,1,,1,0,,0,
MEX_028714,2013,1.0,,0,1,,1,0,,1,
MEX_090234,2013,1.0,,1,1,,1,0,,1,
MEX_054639,2013,,,0,1,,1,0,,0,
MEX_081835,2013,1.0,,0,1,,1,0,,1,
MEX_066513,2013,1.0,,1,1,,1,1,,1,
MEX_113414,2013,1.0,,1,1,,1,1,,1,
MEX_117264,2013,1.0,,0,1,,1,0,,1,
MEX_039624,2013,1.0,,1,1,,1,1,,1,
MEX_029005,2013,,,0,1,,1,1,,1,
MEX_077452,2013,1.0,,1,1,,1,1,,1,
MEX_041291,2013,1.0,,1,1,,1,0,,1,
MEX_078548,2013,1.0,,1,1,,1,1,,1,
MEX_114792,2013,1.0,,1,1,,1,1,,1,
MEX_064570,2013,1.0,,0,1,,1,0,,0,
MEX_104133,2013,1.0,,1,1,,1,0,,1,
MEX_048405,2013,1.0,,1,1,,1,1,,1,
MEX_023244,2013,1.0,,1,1,,1,0,,1,
MEX_084458,2013,1.0,,0,1,,1,0,,1,
MEX_077934,2013,,,1,1,,1,0,,1,
MEX_038596,2013,1.0,,0,1,,1,0,,0,
MEX_003762,2013,1.0,,1,1,,1,1,,1,
MEX_092840,2013,1.0,,1,1,,1,1,,1,
MEX_043211,2013,1.0,,0,1,,1,0,,1,
MEX_090658,2013,1.0,,1,1,,1,1,,1,
MEX_149898,2013,1.0,,1,1,,1,1,,1,
MEX_119955,2013,,,0,1,,1,0,,0,
MEX_049848,2013,1.0,,1,1,,1,0,,1,
MEX_040054,2013,1.0,,0,1,,1,1,,1,
MEX_071393,2013,1.0,,1,1,,1,1,,1,
MEX_083256,2013,1.0,,0,1,,1,0,,1,
MEX_084476,2013,1.0,,1,1,,1,1,,1,
MEX_112772,2013,1.0,,1,1,,1,1,,1,
MEX_052072,2013,1.0,,0,0,,1,0,,1,
MEX_084478,2013,1.0,,1,1,,1,1,,1,
MEX_147974,2013,1.0,,0,1,,1,1,,1,
MEX_012011,2013,1.0,,1,1,,1,0,,0,
MEX_013672,2013,1.0,,1,1,,1,0,,1,
MEX_081143,2013,1.0,,0,1,,1,0,,1,
MEX_120517,2013,,,1,1,,1,0,,1,
MEX_144675,2013,1.0,,1,1,,1,1,,1,
MEX_144735,2013,,,1,1,,1,0,,1,
MEX_071838,2013,1.0,,0,1,,1,0,,1,
MEX_001937,2013,1.0,,0,1,,1,1,,1,
MEX_007273,2013,1.0,,0,1,,1,1,,1,
MEX_114343,2013,1.0,,0,1,,1,1,,1,
MEX_050989,2013,,,0,1,,1,0,,1,
MEX_005096,2013,1.0,,1,1,,1,0,,1,
MEX_029357,2013,1.0,,0,1,,1,1,,1,
MEX_112395,2013,1.0,,1,1,,1,1,,1,
MEX_094177,2013,1.0,,1,1,,1,0,,1,
